school,region,pct_eds,spg_score,enrollment,spg_grade
Erwin Montessori,Piedmont Triad,47.4,56.0,149.0,C
Fairview Elementary,Piedmont Triad,78.6,48.0,427.0,D
Waldo C Falkener Sr Elementary,Piedmont Triad,78.3,39.0,494.0,F
Ferndale Middle,Piedmont Triad,73.8,46.0,527.0,D
Florence Elementary,Piedmont Triad,55.4,73.0,616.0,B
Julius I Foust Elementary,Piedmont Triad,72.7,41.0,224.0,D
Cyrus P Frazier Elementary,Piedmont Triad,72.6,51.0,291.0,D
Gibsonville Elementary,Piedmont Triad,61.4,54.0,559.0,D
Gillespie Park Elementary,Piedmont Triad,85.0,38.0,203.0,F
General Greene Elementary,Piedmont Triad,46.3,75.0,393.0,B
GC Middle College High,Piedmont Triad,46.5,91.0,76.0,A
Penn-Griffin Schools,Piedmont Triad,69.5,49.0,530.0,D
Grimsley High,Piedmont Triad,47.0,76.0,1853.0,B
Early College at Guilford,Piedmont Triad,9.3,97.0,194.0,A
Western Guilford Middle,Piedmont Triad,64.1,49.0,741.0,D
Middle College at GTCC-Greensboro,Piedmont Triad,48.8,86.0,165.0,A
Guilford Elementary,Piedmont Triad,67.6,43.0,557.0,D
GTCC Middle College High,Piedmont Triad,53.0,85.0,254.0,A
Otis L Hairston Sr Middle,Piedmont Triad,78.4,44.0,634.0,D
High Point Central High,Piedmont Triad,62.8,62.0,998.0,C
Kearns Academy,Piedmont Triad,59.0,59.0,110.0,C
Middle College at GTCC-High Point,Piedmont Triad,69.7,77.0,187.0,B
Hunter Elementary,Piedmont Triad,74.5,41.0,484.0,D
Irving Park Elementary,Piedmont Triad,59.6,57.0,520.0,C
Jackson Middle,Piedmont Triad,72.0,40.0,406.0,D
Jamestown Elementary,Piedmont Triad,60.0,63.0,414.0,C
Jamestown Middle,Piedmont Triad,69.5,53.0,933.0,D
Jefferson Elementary,Piedmont Triad,58.5,63.0,675.0,C
Jesse Wharton Elem,Piedmont Triad,37.6,75.0,550.0,B
Johnson Street Global Studies,Piedmont Triad,72.9,56.0,402.0,C
David D Jones Elementary,Piedmont Triad,55.1,55.0,646.0,C
James Y Joyner Elementary,Piedmont Triad,66.9,63.0,238.0,C
Kernodle Middle,Piedmont Triad,39.4,64.0,754.0,C
Kirkman Park Elementary,Piedmont Triad,77.9,54.0,237.0,D
Kiser Middle,Piedmont Triad,60.2,57.0,905.0,C
Lincoln Academy,Piedmont Triad,58.7,69.0,620.0,C
John Van Lindley Elementary,Piedmont Triad,56.7,69.0,455.0,C
Madison Elementary,Piedmont Triad,66.1,48.0,222.0,D
Eastern Guilford Middle,Piedmont Triad,78.4,44.0,957.0,D
McLeansville Elementary,Piedmont Triad,55.5,42.0,320.0,D
Ronald E. McNair Elementary,Piedmont Triad,65.2,50.0,433.0,D
Mendenhall Middle,Piedmont Triad,64.2,46.0,621.0,D
Millis Road Elementary,Piedmont Triad,59.1,63.0,465.0,C
Montlieu Academy of Technology,Piedmont Triad,69.8,57.0,486.0,C
Morehead Elementary,Piedmont Triad,60.2,61.0,523.0,C
Nathanael Greene Elementary,Piedmont Triad,52.5,58.0,259.0,C
A&T Four Middle College,Piedmont Triad,61.8,66.0,148.0,C
Northeast Guilford High,Piedmont Triad,60.3,52.0,922.0,D
Northern Guilford Elementary,Piedmont Triad,17.1,84.0,632.0,B
Northeast Guilford Middle,Piedmont Triad,58.1,45.0,760.0,D
Northern Guilford Middle,Piedmont Triad,31.1,68.0,798.0,C
Northern Guilford High,Piedmont Triad,25.9,81.0,1348.0,B
Northwest Guilford High,Piedmont Triad,17.7,87.0,1980.0,A
EP Pearce Elementary,Piedmont Triad,25.5,83.0,671.0,B
Northwest Guilford Middle,Piedmont Triad,18.4,79.0,956.0,B
Northwood Elementary,Piedmont Triad,74.7,57.0,453.0,C
Oak Hill Elementary,Piedmont Triad,76.9,42.0,374.0,D
Oak Ridge Elementary,Piedmont Triad,12.5,88.0,698.0,A
Oak View Elementary,Piedmont Triad,75.8,44.0,501.0,D
Page High,Piedmont Triad,56.0,72.0,1684.0,B
Parkview Village Elementary,Piedmont Triad,85.3,38.0,237.0,F
Clara J Peck Elementary,Piedmont Triad,77.1,46.0,249.0,D
Pilot Elementary,Piedmont Triad,70.3,56.0,575.0,C
Pleasant Garden Elementary,Piedmont Triad,54.8,72.0,428.0,B
Lucy Ragsdale High,Piedmont Triad,62.7,61.0,1303.0,C
Reedy Fork Elementary,Piedmont Triad,55.1,59.0,478.0,C
Rankin Elementary,Piedmont Triad,80.5,42.0,663.0,D
Sedalia Elementary,Piedmont Triad,65.4,57.0,515.0,C
Sedgefield Elementary,Piedmont Triad,68.3,48.0,443.0,D
Shadybrook Elementary,Piedmont Triad,74.0,69.0,309.0,C
George C Simkins Jr Elementary,Piedmont Triad,63.9,44.0,594.0,D
Ben L. Smith High School,Piedmont Triad,67.5,52.0,1296.0,D
Academy at Smith,Piedmont Triad,78.7,67.0,221.0,C
Southeast Guilford High,Piedmont Triad,49.2,70.0,1235.0,B
Southeast Guilford Middle,Piedmont Triad,57.9,50.0,830.0,D
Southern Elementary,Piedmont Triad,78.0,66.0,234.0,C
Southern Guilford High,Piedmont Triad,77.4,56.0,898.0,C
Southwest Elementary,Piedmont Triad,36.5,82.0,811.0,B
Southwest Guilford High,Piedmont Triad,51.1,71.0,1624.0,B
Southwest Guilford Middle,Piedmont Triad,56.3,48.0,1082.0,D
Sternberger Elementary,Piedmont Triad,12.4,85.0,435.0,A
STEM Early College @ NC A&T SU,Piedmont Triad,21.4,97.0,188.0,A
Stokesdale Elementary,Piedmont Triad,25.2,67.0,444.0,C
Summerfield Elementary,Piedmont Triad,24.7,85.0,569.0,A
Sumner Elementary,Piedmont Triad,70.6,54.0,517.0,D
Triangle Lake Montessori Elem,Piedmont Triad,64.1,57.0,355.0,C
UNCG Early/Middle College,Piedmont Triad,55.0,89.0,202.0,A
Union Hill Elementary,Piedmont Triad,76.5,57.0,494.0,C
Vandalia Elementary,Piedmont Triad,76.5,54.0,209.0,D
Washington Elementary,Piedmont Triad,76.6,42.0,257.0,D
Philip J Weaver Ed Center,Piedmont Triad,19.8,92.0,292.0,A
Welborn Middle,Piedmont Triad,71.2,42.0,421.0,D
Western Guilford High,Piedmont Triad,63.5,69.0,1397.0,C
Greensboro Academy,Piedmont Triad,7.3,89.0,756.0,A
Guilford Preparatory Academy,Piedmont Triad,59.1,58.0,474.0,C
"Phoenix Academy - Primary, Elem, Upper",Piedmont Triad,21.0,61.0,975.0,C
Triad Math and Science Academy,Piedmont Triad,62.3,73.0,1267.0,B
Cornerstone Charter Academy-CFA,Piedmont Triad,6.5,78.0,1232.0,B
College Prep and Leadership Academy,Piedmont Triad,62.0,59.0,640.0,C
Summerfield Charter Academy,Piedmont Triad,12.9,88.0,774.0,A
Piedmont Classical High School,Piedmont Triad,57.0,66.0,409.0,C
Gate City Charter,Piedmont Triad,79.0,58.0,677.0,C
Next Generation Academy,Piedmont Triad,49.2,49.0,143.0,D
The Experiential School of Greensboro,Piedmont Triad,19.2,51.0,324.0,D
Revolution Academy,Piedmont Triad,7.9,71.0,631.0,B
Summit Creek Academy,Piedmont Triad,59.8,53.0,421.0,D
Aggie Academy,Piedmont Triad,51.5,49.0,70.0,D
Aurelian Springs Institute of Global Lea,Northeast,78.6,55.0,126.0,C
Scotland Neck Elementary Leadership Acad,Northeast,76.2,47.0,130.0,D
Enfield Middle S.T.E.A.M. Academy,Northeast,76.2,41.0,211.0,D
Everetts Elementary S.T.E.M. Academy,Northeast,75.7,39.0,226.0,F
Hollister Elementary Leadership Academy,Northeast,71.5,33.0,147.0,F
Inborden Elementary S.T.E.A.M. Academy,Northeast,75.1,56.0,196.0,C
Northwest Halifax Collegiate and Technic,Northeast,71.9,50.0,315.0,D
Pittman Elementary Leadership Academy,Northeast,71.6,42.0,123.0,D
Southeast Halifax Collegiate Prep Academ,Northeast,77.0,54.0,188.0,D
William R Davie Middle S.T.E.M. Academy,Northeast,75.4,30.0,273.0,F
Halifax County Early College High,Northeast,52.4,69.0,125.0,C
Belmont Elementary School,Northeast,67.6,62.0,530.0,C
Chaloner Middle School,Northeast,62.6,59.0,618.0,C
Roanoke Rapids High School,Northeast,52.9,54.0,766.0,D
Manning Elementary School,Northeast,51.5,61.0,597.0,C
Roanoke Rapids Early College High,Northeast,37.3,89.0,121.0,A
Roanoke Valley Early College,Northeast,42.3,56.0,121.0,C
Weldon Elementary Global Academy,Northeast,78.7,31.0,215.0,F
Weldon STEM High School Career Academies,Northeast,73.6,50.0,118.0,D
Weldon Middle,Northeast,76.1,45.0,182.0,D
KIPP Halifax College Preparatory,Northeast,61.2,34.0,465.0,F
Hobgood Charter School,Northeast,28.5,55.0,328.0,C
Anderson Creek Primary,North Central,62.2,54.0,522.0,D
Angier Elementary,North Central,77.4,41.0,324.0,D
Benhaven Elementary,North Central,46.7,62.0,973.0,C
Boone Trail Elementary,North Central,71.8,45.0,515.0,D
Buies Creek Elementary,North Central,54.9,54.0,230.0,D
Coats Elementary,North Central,71.0,40.0,666.0,D
Coats-Erwin Middle,North Central,70.1,48.0,594.0,D
Dunn Middle,North Central,65.3,53.0,407.0,D
Erwin Elementary,North Central,65.0,39.0,559.0,F
Harnett County Early College,North Central,45.2,93.0,114.0,A
Dunn Elementary,North Central,72.9,46.0,767.0,D
Harnett Central High,North Central,56.1,60.0,1400.0,C
Harnett Central Middle,North Central,62.9,45.0,1018.0,D
Johnsonville Elementary,North Central,63.5,57.0,470.0,C
Highland Elementary,North Central,53.4,64.0,904.0,C
Highland Middle,North Central,65.5,53.0,856.0,D
Northwest Harnett Elementary,North Central,41.3,73.0,631.0,B
Lillington-Shawtown Elementary,North Central,57.6,50.0,658.0,D
North Harnett Primary,North Central,79.3,41.0,338.0,D
Overhills Elementary,North Central,53.1,57.0,927.0,C
Overhills Middle,North Central,59.4,53.0,794.0,D
Overhills High,North Central,47.1,58.0,1870.0,C
South Harnett Elementary,North Central,63.3,54.0,443.0,D
Triton High,North Central,64.5,62.0,1215.0,C
Western Harnett High,North Central,59.6,59.0,1321.0,C
Harnett Virtual Academy,North Central,65.8,34.0,116.0,F
Western Harnett Middle,North Central,57.2,52.0,815.0,D
Anderson Creek Academy,North Central,18.1,82.0,285.0,B
Achievement Charter Academy,North Central,13.9,40.0,154.0,D
Bethel Elementary,Western,50.3,73.0,524.0,B
Bethel Middle,Western,54.7,71.0,238.0,B
Canton Middle,Western,57.4,64.0,453.0,C
Clyde Elementary,Western,59.2,53.0,515.0,D
Riverbend Elementary,Western,51.6,82.0,182.0,B
Haywood Early College,Western,42.0,96.0,173.0,A
Hazelwood Elementary,Western,61.7,63.0,479.0,C
Jonathan Valley Elementary,Western,54.1,65.0,348.0,C
Junaluska Elementary,Western,54.4,74.0,443.0,B
Meadowbrook Elementary,Western,68.0,48.0,198.0,D
North Canton Elementary,Western,58.5,70.0,307.0,B
Pisgah High,Western,55.6,81.0,892.0,B
Tuscola High,Western,48.7,78.0,890.0,B
Waynesville Middle,Western,60.8,54.0,720.0,D
Shining Rock Classical Academy,Western,35.5,58.0,513.0,C
Apple Valley Middle,Western,68.8,57.0,815.0,C
Atkinson Elementary,Western,46.0,64.0,317.0,C
Bruce Drysdale Elementary,Western,61.9,61.0,449.0,C
Clear Creek Elementary,Western,68.9,69.0,479.0,C
Dana Elementary,Western,80.5,35.0,382.0,F
East Henderson High,Western,61.1,73.0,927.0,B
Edneyville Elementary,Western,70.0,51.0,426.0,D
Etowah Elementary,Western,49.4,74.0,311.0,B
Flat Rock Middle,Western,70.0,43.0,702.0,D
Fletcher Elementary,Western,53.4,66.0,461.0,C
Hendersonville Elementary,Western,33.1,78.0,330.0,B
Hendersonville High,Western,43.3,74.0,764.0,B
Hendersonville Middle,Western,52.6,65.0,510.0,C
Hillandale Elementary,Western,66.7,53.0,475.0,D
Glenn C Marlow Elementary,Western,29.8,79.0,579.0,B
Mills River Elementary,Western,37.8,76.0,592.0,B
North Henderson High,Western,62.2,76.0,1091.0,B
Rugby Middle,Western,39.9,71.0,803.0,B
Sugarloaf Elementary,Western,80.5,54.0,411.0,D
Upward Elementary,Western,81.9,49.0,415.0,D
West Henderson High,Western,34.2,73.0,1062.0,B
Henderson County Early College,Western,47.7,93.0,201.0,A
The Mountain Community Sch,Western,19.2,65.0,197.0,C
FernLeaf,Western,13.7,59.0,278.0,C
Ahoskie Elementary,Northeast,77.8,45.0,227.0,D
Bearfield Primary,Northeast,77.6,53.0,483.0,D
Hertford County Middle,Northeast,74.2,32.0,537.0,F
Hertford County High,Northeast,75.3,52.0,533.0,D
Hertford Co Early College,Northeast,38.1,77.0,170.0,B
Riverview Elementary,Northeast,70.4,45.0,307.0,D
CS Brown High - STEM Program,Northeast,56.9,81.0,71.0,B
Don D Steed Elementary,Sandhills,45.6,69.0,664.0,C
Hoke County High,Sandhills,52.3,64.0,1958.0,C
J W McLauchlin Elementary,Sandhills,65.8,56.0,301.0,C
West Hoke Middle,Sandhills,63.4,43.0,569.0,D
Scurlock Elementary,Sandhills,51.0,52.0,588.0,D
Hawk Eye Elementary,Sandhills,77.6,39.0,344.0,F
East Hoke Middle,Sandhills,52.1,40.0,784.0,D
West Hoke Elementary,Sandhills,60.9,44.0,450.0,D
Rockfish Hoke Elementary,Sandhills,26.9,55.0,589.0,C
Upchurch Elementary,Sandhills,52.7,60.0,636.0,C
Sandy Grove Elementary,Sandhills,60.4,64.0,548.0,C
Sandy Grove Middle,Sandhills,51.7,41.0,635.0,D
SandHoke Early College High,Sandhills,32.5,92.0,439.0,A
Mattamuskeet School,Northeast,65.9,42.0,300.0,D
Ocracoke School,Northeast,45.0,74.0,151.0,B
Agriculture and Science Early College,Southwest,36.2,86.0,241.0,A
Woodland Heights Middle,Southwest,22.1,71.0,544.0,B
Career Academy and Technical School,Southwest,13.6,65.0,119.0,C
Celeste Henkel Elementary,Southwest,68.1,64.0,511.0,C
Central Elementary,Southwest,47.4,67.0,382.0,C
Coddle Creek Elementary,Southwest,26.8,66.0,700.0,C
Cloverleaf Elementary,Southwest,72.8,49.0,456.0,D
Collaborative College for Technology,Southwest,34.2,96.0,225.0,A
Cool Spring Elementary,Southwest,58.4,75.0,375.0,B
East Iredell Elementary,Southwest,75.8,49.0,673.0,D
East Iredell Middle,Southwest,77.8,33.0,354.0,F
Harmony Elementary,Southwest,69.2,70.0,347.0,B
ISS Virtual Academy,Southwest,13.3,60.0,136.0,C
Lake Norman High,Southwest,16.2,78.0,1948.0,B
Lake Norman Elementary,Southwest,18.7,73.0,694.0,B
Lakeshore Elementary,Southwest,29.8,68.0,682.0,C
Lakeshore Middle,Southwest,35.2,60.0,607.0,C
The Brawley School,Southwest,9.0,87.0,634.0,A
N B Mills Elementary,Southwest,67.5,34.0,382.0,F
North Iredell High,Southwest,46.7,70.0,919.0,B
Oakwood Middle IB School,Southwest,36.3,75.0,492.0,B
Scotts Elementary,Southwest,72.8,56.0,305.0,C
North Iredell Middle,Southwest,56.5,47.0,557.0,D
Third Creek Middle,Southwest,87.6,29.0,392.0,F
Statesville High,Southwest,77.7,54.0,840.0,D
Crossroads Arts and Science Early Colleg,Southwest,39.2,96.0,258.0,A
Sharon Elementary,Southwest,61.2,66.0,237.0,C
Shepherd Elementary,Southwest,44.9,59.0,725.0,C
South Iredell High,Southwest,33.3,71.0,1676.0,B
Third Creek Elementary,Southwest,87.5,42.0,525.0,D
Troutman Elementary,Southwest,51.9,66.0,710.0,C
Troutman Middle,Southwest,53.2,35.0,406.0,F
Union Grove Elementary,Southwest,54.2,66.0,220.0,C
West Iredell High,Southwest,62.4,57.0,800.0,C
West Iredell Middle,Southwest,66.5,46.0,542.0,D
Woodland Heights Elementary,Southwest,13.1,78.0,604.0,B
East Mooresville Intermediate,Southwest,46.0,73.0,635.0,B
Mooresville Intermediate,Southwest,39.2,72.0,639.0,B
Mooresville Middle,Southwest,45.2,73.0,931.0,B
Mooresville High School,Southwest,36.1,72.0,1923.0,B
Park View Elementary,Southwest,51.8,73.0,597.0,B
Rocky River Elementary,Southwest,30.2,72.0,612.0,B
South Elementary,Southwest,59.0,72.0,503.0,B
American Renaissance School,Southwest,13.5,48.0,587.0,D
Success Institute Charter,Southwest,59.5,47.0,81.0,D
Pine Lake Preparatory,Southwest,5.0,85.0,1862.0,A
Langtree Charter Academy,Southwest,13.0,70.0,1347.0,B
Iredell Charter Academy of Arts &Science,Southwest,47.1,52.0,617.0,D
Blue Ridge Early College,Western,74.8,44.0,128.0,D
Cullowhee Valley School,Western,68.2,50.0,598.0,D
Fairview School,Western,56.6,59.0,740.0,C
Blue Ridge School,Western,77.2,65.0,147.0,C
Jackson Co Early College,Western,42.9,78.0,99.0,B
Scotts Creek School,Western,70.5,54.0,441.0,D
Smokey Mountain Elementary,Western,80.9,40.0,326.0,D
Smoky Mountain High School,Western,54.6,68.0,866.0,C
Summit Charter,Western,8.1,74.0,239.0,B
Catamount School,Western,50.0,64.0,55.0,C
Benson Elementary,North Central,73.5,64.0,603.0,C
Benson Middle,North Central,68.4,55.0,498.0,C
Clayton High,North Central,42.2,72.0,1943.0,B
West Clayton Elementary,North Central,64.5,64.0,750.0,C
Cleveland High,North Central,35.5,72.0,1841.0,B
Cleveland Elementary,North Central,27.9,75.0,831.0,B
Cleveland Middle,North Central,37.4,63.0,938.0,C
Cooper Academy,North Central,66.9,56.0,440.0,C
Corinth-Holders Elementary,North Central,58.2,63.0,548.0,C
Corinth Holders High,North Central,31.8,73.0,2187.0,B
Dixon Road Elementary,North Central,45.2,71.0,594.0,B
East Clayton Elementary,North Central,55.4,60.0,509.0,C
Four Oaks Elementary,North Central,67.7,65.0,1021.0,C
Four Oaks Middle,North Central,68.2,66.0,471.0,C
Micro Elementary,North Central,73.6,67.0,392.0,C
North Johnston Middle,North Central,71.9,56.0,598.0,C
Glendale-Kenly Elementary,North Central,66.4,61.0,452.0,C
McGee's Crossroads Elem,North Central,54.7,66.0,886.0,C
McGee's Crossroads Middle,North Central,47.8,60.0,756.0,C
Meadow School,North Central,60.5,70.0,588.0,B
Archer Lodge Middle,North Central,41.0,64.0,1224.0,C
Johnston Co Early College Academy,North Central,29.6,95.0,274.0,A
North Johnston High,North Central,61.9,66.0,758.0,C
Pine Level Elementary,North Central,64.9,77.0,338.0,B
Powhatan Elementary,North Central,33.4,74.0,606.0,B
Princeton Elementary,North Central,60.3,70.0,698.0,B
Princeton High,North Central,49.8,63.0,1015.0,C
River Dell Elementary,North Central,34.5,73.0,904.0,B
Riverwood Elementary,North Central,38.1,80.0,808.0,B
Riverwood Middle,North Central,43.4,57.0,952.0,C
The Innovation Academy at South Campus,North Central,51.3,82.0,231.0,B
Thanksgiving Elementary,North Central,44.6,73.0,753.0,B
Selma Elementary,North Central,66.7,57.0,724.0,C
Selma Middle School,North Central,67.4,47.0,364.0,D
West Smithfield Elementary,North Central,66.7,55.0,418.0,C
Smithfield Middle,North Central,60.5,39.0,508.0,F
Smithfield-Selma High,North Central,68.9,58.0,1447.0,C
South Johnston High,North Central,55.4,66.0,1289.0,C
South Smithfield Elementary,North Central,62.9,47.0,433.0,D
West Johnston High,North Central,38.3,66.0,1439.0,C
Wilson's Mills Elementary,North Central,76.3,60.0,496.0,C
Polenta Elementary,North Central,45.5,66.0,1007.0,C
Swift Creek Middle,North Central,45.0,58.0,752.0,C
Clayton Middle,North Central,56.1,59.0,578.0,C
West View Elementary,North Central,48.0,72.0,944.0,B
Neuse Charter School,North Central,19.7,68.0,943.0,C
Johnston Charter Academy,North Central,28.2,65.0,746.0,C
American Leadership Academy - Johnston,North Central,25.0,61.0,1637.0,C
Pollocksville Elementary,Southeast,66.4,66.0,105.0,C
Comfort Elementary,Southeast,63.4,68.0,98.0,C
Maysville Elementary,Southeast,78.4,69.0,115.0,C
Trenton Elementary,Southeast,69.7,58.0,137.0,C
Jones Senior High School,Southeast,59.5,63.0,532.0,C
BT Bullock Elementary,North Central,65.4,58.0,487.0,C
Broadway Elementary,North Central,81.0,52.0,462.0,D
Deep River Elementary,North Central,76.5,65.0,478.0,C
East Lee Middle,North Central,73.7,39.0,525.0,F
Greenwood Elementary,North Central,75.7,67.0,543.0,C
Lee Early College,North Central,42.6,89.0,248.0,A
Lee County High,North Central,60.8,52.0,1470.0,D
J Glenn Edwards Elementary,North Central,73.4,59.0,545.0,C
SanLee Middle School,North Central,70.3,61.0,803.0,C
Southern Lee High School,North Central,62.3,54.0,1175.0,D
Tramway Elementary,North Central,48.0,71.0,537.0,B
J R Ingram Jr Elementary,North Central,65.9,58.0,404.0,C
West Lee Middle,North Central,70.6,53.0,606.0,D
WB Wicker Elementary,North Central,85.3,51.0,575.0,D
Ascend Leadership Academy Lee County,North Central,35.4,62.0,533.0,C
Rising Leaders Academy,North Central,74.2,42.0,348.0,D
Central Carolina Academy,North Central,27.1,76.0,264.0,B
Banks Elementary,Southeast,61.8,69.0,444.0,C
Contentnea-Savannah School,Southeast,67.7,53.0,844.0,D
E B Frink Middle,Southeast,59.4,50.0,538.0,D
Kinston High,Southeast,77.4,46.0,675.0,D
La Grange Elementary,Southeast,68.7,53.0,480.0,D
Lenoir County Early College High,Southeast,44.1,83.0,213.0,B
Moss Hill Elementary,Southeast,63.8,76.0,389.0,B
North Lenoir High,Southeast,53.1,59.0,935.0,C
Northeast Elementary,Southeast,86.3,45.0,409.0,D
Northwest Elementary,Southeast,82.4,60.0,471.0,C
Pink Hill Elementary,Southeast,63.8,59.0,440.0,C
Rochelle Middle,Southeast,85.2,46.0,448.0,D
South Lenoir High,Southeast,50.0,61.0,713.0,C
Southeast Elementary,Southeast,93.6,49.0,186.0,D
Southwood Elementary,Southeast,58.6,63.0,246.0,C
Woodington Middle,Southeast,60.5,54.0,576.0,D
Battleground Elementary,Southwest,66.7,75.0,377.0,B
Catawba Springs Elementary,Southwest,29.9,72.0,538.0,B
GE Massey Elementary,Southwest,77.6,49.0,345.0,D
East Lincoln High,Southwest,29.7,74.0,1033.0,B
East Lincoln Middle,Southwest,36.4,61.0,738.0,C
Iron Station Elementary,Southwest,64.2,74.0,363.0,B
Lincolnton High,Southwest,66.4,62.0,798.0,C
Lincolnton Middle,Southwest,73.1,47.0,558.0,D
Love Memorial Elementary,Southwest,72.4,49.0,267.0,D
Childers Elementary,Southwest,66.5,59.0,398.0,C
North Brook Elementary,Southwest,66.4,64.0,337.0,C
North Lincoln High,Southwest,27.2,70.0,1056.0,B
Pumpkin Center Primary,Southwest,47.4,62.0,290.0,C
Pumpkin Center Intermediate,Southwest,45.3,62.0,314.0,C
North Lincoln Middle,Southwest,29.9,67.0,775.0,C
Rock Springs Elementary,Southwest,21.7,80.0,632.0,B
S Ray Lowder Elementary,Southwest,68.7,59.0,269.0,C
St James Elementary,Southwest,28.6,72.0,647.0,B
Union Elementary,Southwest,56.9,71.0,311.0,B
West Lincoln High,Southwest,51.4,68.0,735.0,C
West Lincoln Middle,Southwest,62.6,55.0,548.0,C
Lincoln Charter School,Southwest,9.1,77.0,2175.0,B
West Lake Preparatory Academy,Southwest,36.4,62.0,403.0,C
Cartoogechaye Elementary,Western,61.9,64.0,347.0,C
East Franklin Elementary,Western,60.1,53.0,358.0,D
Franklin High,Western,51.1,69.0,951.0,C
Highlands School,Western,35.4,58.0,339.0,C
Iotla Valley Elementary,Western,69.6,57.0,380.0,C
Macon Early College High School,Western,50.4,83.0,116.0,B
Macon Middle School,Western,59.3,58.0,597.0,C
Mountain View Intermediate,Western,68.6,50.0,571.0,D
Nantahala School,Western,79.5,48.0,84.0,D
South Macon Elementary,Western,70.8,61.0,469.0,C
Macon Virtual Academy,Western,66.7,82.0,28.0,B
Brush Creek Elementary,Western,61.5,56.0,335.0,C
Hot Springs Elementary,Western,70.5,62.0,141.0,C
Madison Early College High,Western,42.9,80.0,240.0,B
Madison High School,Western,47.8,67.0,401.0,C
Madison Middle School,Western,57.7,56.0,451.0,C
Mars Hill Elementary,Western,54.7,57.0,496.0,C
Williamston Primary,Northeast,72.5,48.0,310.0,D
E J Hayes Elementary,Northeast,65.6,48.0,271.0,D
South Creek Elementary,Northeast,70.8,42.0,284.0,D
Jamesville Elementary,Northeast,52.6,68.0,193.0,C
South Creek Middle,Northeast,67.3,42.0,200.0,D
Rodgers Elementary,Northeast,49.8,67.0,220.0,C
Riverside Middle,Northeast,69.3,45.0,367.0,D
Bear Grass Charter School,Northeast,12.7,65.0,413.0,C
Eastfield Global Magnet School,Northwest,85.2,64.0,250.0,C
East McDowell Middle School,Northwest,77.8,48.0,468.0,D
Glenwood Elementary School,Northwest,64.2,52.0,397.0,D
Marion Elementary School,Northwest,75.2,61.0,335.0,C
McDowell Academy for Innovation,Northwest,52.7,88.0,111.0,A
McDowell Early College,Northwest,42.5,89.0,225.0,A
McDowell High School,Northwest,60.7,54.0,1364.0,D
Nebo Elementary School,Northwest,72.4,64.0,322.0,C
North Cove Elementary School,Northwest,69.7,53.0,199.0,D
Old Fort Elementary School,Northwest,73.4,68.0,288.0,C
Pleasant Gardens Elementary School,Northwest,63.2,61.0,276.0,C
West Marion Elementary School,Northwest,69.6,53.0,347.0,D
West McDowell Middle School,Northwest,67.7,55.0,609.0,C
Foothills Community School,Northwest,48.9,74.0,189.0,B
Albemarle Road Elementary,Southwest,58.5,58.0,749.0,C
Albemarle Road Middle,Southwest,55.8,43.0,920.0,D
Ardrey Kell High School,Southwest,13.8,90.0,3503.0,A
Charlotte East Language Academy,Southwest,49.1,67.0,775.0,C
Rea Farms STEAM Academy,Southwest,14.3,90.0,1118.0,A
J. M. Alexander Middle,Southwest,68.1,38.0,780.0,F
North Academy of World Languages,Southwest,46.0,79.0,601.0,B
Allenbrook Elementary,Southwest,71.3,72.0,235.0,B
Ashley Park PreK-8 School,Southwest,70.6,52.0,314.0,D
William Amos Hough High,Southwest,18.2,84.0,2492.0,B
Bailey Middle,Southwest,21.1,82.0,1325.0,B
Bain Elementary,Southwest,29.5,86.0,773.0,A
Charles H. Parker Academic Center,Southwest,44.4,62.0,486.0,C
Whitewater Middle,Southwest,58.3,55.0,713.0,C
Whitewater Academy,Southwest,59.1,59.0,738.0,C
Berryhill School,Southwest,55.8,52.0,410.0,D
Beverly Woods Elementary,Southwest,19.5,86.0,619.0,A
Palisades High School,Southwest,49.7,69.0,1615.0,C
Barnette Elementary,Southwest,30.6,74.0,704.0,B
Briarwood Academy,Southwest,53.9,60.0,623.0,C
Carmel Middle,Southwest,40.9,68.0,1064.0,C
Cato Middle College High School,Southwest,47.8,94.0,202.0,A
Billingsville Elementary,Southwest,55.1,66.0,339.0,C
Chantilly Montessori,Southwest,11.4,78.0,254.0,B
Clear Creek Elementary,Southwest,63.5,61.0,449.0,C
Cochrane Collegiate Academy,Southwest,52.5,36.0,902.0,F
Collinswood Language Academy,Southwest,45.5,76.0,769.0,B
Community House Middle,Southwest,17.6,89.0,1453.0,A
Cornelius Elementary,Southwest,29.5,81.0,578.0,B
Cotswold Elementary,Southwest,52.1,66.0,333.0,C
Coulwood STEM Academy,Southwest,59.3,68.0,611.0,C
Crown Point Elementary,Southwest,74.2,65.0,594.0,C
Crestdale Middle,Southwest,40.1,69.0,986.0,C
Davidson K-8 School,Southwest,12.2,88.0,1172.0,A
Butler High School,Southwest,46.0,71.0,1817.0,B
David Cox Road Elementary,Southwest,67.9,45.0,647.0,D
Military and Global Leadership,Southwest,65.3,90.0,153.0,A
Devonshire Elementary,Southwest,57.5,45.0,534.0,D
Marie G Davis School,Southwest,76.1,48.0,365.0,D
Dilworth Elementary School Latta Campus,Southwest,18.4,90.0,286.0,A
First Ward Creative Arts Academy,Southwest,70.2,53.0,495.0,D
Berewick Elementary,Southwest,65.2,60.0,688.0,C
Druid Hills Academy,Southwest,68.3,58.0,262.0,C
