school,region,pct_eds,spg_score,enrollment,spg_grade
Northwood High,North Central,30.3,77.0,922.0,B
Perry W Harrison Elementary,North Central,32.3,80.0,210.0,B
Pittsboro Elementary,North Central,44.3,71.0,476.0,B
Seaforth High,North Central,24.7,80.0,727.0,B
Siler City Elementary,North Central,86.9,56.0,600.0,C
Silk Hope School,North Central,53.1,66.0,275.0,C
Chatham Grove Elementary,North Central,18.6,78.0,660.0,B
Virginia Cross Elementary,North Central,95.0,55.0,431.0,C
Chatham Early College,North Central,29.8,96.0,85.0,A
Chatham Charter,North Central,8.4,80.0,562.0,B
Woods Charter,North Central,8.5,86.0,508.0,A
Willow Oak Montessori,North Central,5.0,60.0,267.0,C
Andrews Elementary,Western,64.7,49.0,333.0,D
Andrews High,Western,62.5,61.0,224.0,C
Andrews Middle,Western,69.1,53.0,188.0,D
Hiwassee Dam Middle,Western,52.0,69.0,116.0,C
Hiwassee Dam High,Western,58.4,74.0,153.0,B
Martins Creek Elementary,Western,45.5,51.0,164.0,D
Murphy Elementary,Western,57.0,64.0,496.0,C
Murphy High,Western,55.7,71.0,475.0,B
Murphy Middle,Western,63.5,59.0,312.0,C
Peachtree Elementary,Western,65.3,73.0,145.0,B
Ranger Elementary,Western,59.6,62.0,239.0,C
Tri-County Early College High,Western,62.4,79.0,126.0,B
Chowan Middle,Northeast,68.2,50.0,424.0,D
D F Walker Elementary,Northeast,70.3,53.0,383.0,D
John A Holmes High,Northeast,58.1,67.0,573.0,C
White Oak Elementary,Northeast,64.5,53.0,412.0,D
Hayesville Primary School,Western,65.5,62.0,300.0,C
Hayesville Elementary,Western,66.3,62.0,265.0,C
Hayesville High,Western,50.3,71.0,381.0,B
Hayesville Middle,Western,64.2,65.0,272.0,C
Bethware Elementary,Southwest,67.0,71.0,478.0,B
Boiling Springs Elementary,Southwest,63.2,77.0,520.0,B
Burns High,Southwest,60.0,63.0,889.0,C
Burns Middle,Southwest,69.2,58.0,738.0,C
Casar Elementary,Southwest,62.1,77.0,264.0,B
Cleveland ECHS,Southwest,56.6,85.0,213.0,A
Cleveland Innovation,Southwest,54.8,67.0,168.0,C
Crest High,Southwest,56.2,64.0,1084.0,C
Crest Middle,Southwest,67.9,62.0,849.0,C
East Elementary,Southwest,84.8,64.0,194.0,C
Elizabeth Elementary,Southwest,84.4,56.0,488.0,C
Fallston Elementary,Southwest,63.5,62.0,431.0,C
Grover Elementary,Southwest,79.7,71.0,292.0,B
James Love Elementary,Southwest,82.2,46.0,337.0,D
Jefferson Elementary,Southwest,60.9,67.0,420.0,C
Kings Mountain High,Southwest,57.6,63.0,1199.0,C
Kings Mountain Intermediate,Southwest,69.5,61.0,620.0,C
Kings Mountain Middle,Southwest,67.8,56.0,713.0,C
North Elementary,Southwest,72.7,71.0,257.0,B
Shelby High,Southwest,67.6,56.0,794.0,C
Shelby Middle,Southwest,82.2,56.0,619.0,C
Springmore Elementary,Southwest,63.1,78.0,542.0,B
Township Three Elementary,Southwest,82.2,49.0,509.0,D
Union Elementary,Southwest,78.3,63.0,401.0,C
Washington Elementary,Southwest,74.2,58.0,378.0,C
West Elementary,Southwest,60.6,64.0,277.0,C
Pinnacle Classical Academy,Southwest,24.0,62.0,1047.0,C
Acme Delco Elementary,Sandhills,63.9,51.0,286.0,D
Chadbourn Elementary,Sandhills,87.0,55.0,202.0,C
East Columbus Junior-Senior High,Sandhills,54.0,44.0,581.0,D
Hallsboro-Artesia Elementary,Sandhills,69.2,56.0,324.0,C
Nakina Middle,Sandhills,55.3,60.0,210.0,C
Old Dock Elementary,Sandhills,62.2,74.0,262.0,B
South Columbus High,Sandhills,50.7,56.0,659.0,C
Columbus Career and College Academy,Sandhills,47.3,80.0,241.0,B
West Columbus High,Sandhills,63.6,55.0,391.0,C
West Columbus School,Sandhills,69.7,46.0,745.0,D
Williams Township,Sandhills,55.4,52.0,615.0,D
Central Middle,Sandhills,63.1,56.0,457.0,C
Edgewood Elementary,Sandhills,69.0,59.0,458.0,C
Whiteville High,Sandhills,49.8,60.0,630.0,C
Whiteville Primary,Sandhills,76.2,59.0,446.0,C
Classical Charter Schools of Whiteville,Sandhills,37.0,55.0,838.0,C
Albert H Bangert Elementary,Southeast,50.9,71.0,422.0,B
Ben D. Quinn Elementary,Southeast,57.2,56.0,368.0,C
Bridgeton Elementary,Southeast,71.6,53.0,352.0,D
Brinson Memorial Elementary,Southeast,55.5,59.0,457.0,C
Craven Early College High,Southeast,42.2,87.0,225.0,A
Creekside Elementary,Southeast,29.1,79.0,497.0,B
Vanceboro-Farm Life Elementary,Southeast,63.4,47.0,442.0,D
Early College EAST High,Southeast,22.6,84.0,199.0,B
Grover C Fields Middle,Southeast,43.6,68.0,508.0,C
Graham A Barden Elementary,Southeast,73.9,47.0,218.0,D
H J MacDonald Middle,Southeast,54.6,56.0,720.0,C
Havelock Elementary,Southeast,65.9,54.0,268.0,D
Havelock High,Southeast,50.4,66.0,1050.0,C
Havelock Middle,Southeast,55.2,53.0,386.0,D
J.T. Barber Elementary,Southeast,77.7,49.0,241.0,D
James W Smith Elementary,Southeast,64.7,61.0,320.0,C
New Bern High,Southeast,53.1,57.0,1554.0,C
Oaks Road Academy,Southeast,66.7,45.0,367.0,D
Roger Bell New Tech Academy,Southeast,53.4,63.0,378.0,C
Trent Park Elementary,Southeast,66.0,58.0,393.0,C
Tucker Creek Middle,Southeast,44.9,73.0,518.0,B
West Craven High,Southeast,52.3,52.0,817.0,D
West Craven Middle,Southeast,58.5,42.0,664.0,D
W Jesse Gurganus Elementary,Southeast,45.0,75.0,373.0,B
Craven Virtual Academy,Southeast,8.5,39.0,116.0,F
Arthur W Edwards Elementary,Southeast,49.7,52.0,528.0,D
Alma O Easom Elementary,Sandhills,44.7,75.0,263.0,B
Armstrong Elementary,Sandhills,47.3,76.0,472.0,B
Ashley Elementary,Sandhills,52.9,60.0,176.0,C
Loyd E Auman Elementary,Sandhills,62.0,57.0,511.0,C
