school,region,pct_eds,spg_score,enrollment,spg_grade
Morganton Road Elementary,Sandhills,63.6,55.0,499.0,C
Davis-Townsend Elementary,Piedmont Triad,52.8,70.0,404.0,B
Jesse Wharton Elem,Piedmont Triad,37.6,69.0,550.0,C
Heritage Middle,Northwest,64.2,72.0,453.0,B
E E Miller Elementary,Sandhills,48.3,60.0,592.0,C
Sycamore Lane Primary,Sandhills,74.2,34.0,373.0,F
Rocky River Elementary,Southwest,75.0,63.0,495.0,C
Virginia Williamson Elem,Southeast,61.1,57.0,511.0,C
Emma Elementary,Western,62.9,48.0,281.0,D
Crossroads Arts Sciences Early College,Southwest,39.2,95.0,258.0,A
Glendale Acres Elementary,Sandhills,59.3,59.0,205.0,C
New Salem Elementary,Southwest,34.3,72.0,238.0,B
G. C. Hawley Middle,North Central,61.0,46.0,485.0,D
Clayton Middle,North Central,56.1,62.0,578.0,C
Hope Mills Middle,Sandhills,56.1,58.0,507.0,C
Chatham Grove Elementary,North Central,18.6,81.0,660.0,B
Ceasar Cone Elementary,Piedmont Triad,82.9,36.0,446.0,F
New Bridge Middle,Southeast,41.2,72.0,481.0,B
Stough Elementary,North Central,31.4,74.0,511.0,B
Discovery High School,Northwest,24.5,85.0,193.0,A
West Columbus School,Sandhills,69.7,38.0,745.0,F
North Rowan High,Southwest,66.3,42.0,558.0,D
Northampton County High School,Northeast,78.5,42.0,232.0,D
Brevard High,Western,46.8,77.0,736.0,B
Sycamore Creek Elementary,North Central,18.0,81.0,782.0,B
North Brunswick High,Southeast,41.3,58.0,1402.0,C
Arthur W Edwards Elementary,Southeast,49.7,63.0,528.0,C
Sedgefield Elementary,Piedmont Triad,68.3,38.0,443.0,F
Apex Friendship Middle,North Central,11.9,88.0,1384.0,A
Huntersville Elementary,Southwest,23.5,84.0,877.0,B
Eastern Guilford High,Piedmont Triad,68.6,52.0,1132.0,D
Dixon High,Southeast,33.0,68.0,1103.0,C
Sedalia Elementary,Piedmont Triad,65.4,50.0,515.0,D
