school,region,pct_eds,spg_score,enrollment,spg_grade
Corriher Lipe Middle,Southwest,65.9,39.0,477.0,F
Rowan Co Early College,Southwest,47.8,85.0,235.0,A
Briarcliff Elementary,North Central,33.9,72.0,426.0,B
Ignite Online Academy,North Central,16.5,51.0,438.0,D
Love Memorial Elementary,Southwest,72.4,55.0,267.0,C
Harris Middle,Northwest,62.0,53.0,235.0,D
Northwest Cabarrus Middle,Southwest,58.7,63.0,808.0,C
West Marion Elementary School,Northwest,69.6,58.0,347.0,C
Salemburg Elementary,Sandhills,69.3,56.0,430.0,C
Dabney Elementary,North Central,76.6,48.0,342.0,D
Williamston Primary,Northeast,72.5,43.0,310.0,D
The JP Knapp ECH (i)School,Northeast,21.3,90.0,256.0,A
Midway Elementary,Sandhills,51.1,58.0,494.0,C
Western Union Elementary,Southwest,40.0,67.0,557.0,C
Hot Springs Elementary,Western,70.5,68.0,141.0,C
Prospect Elementary,Southwest,49.9,66.0,359.0,C
Northside High,Southeast,55.3,66.0,1062.0,C
Bolton Elementary,Piedmont Triad,80.5,50.0,366.0,D
Moncure School,North Central,47.1,61.0,210.0,C
Lee Early College,North Central,42.6,94.0,248.0,A
Jacksonville Commons Middle,Southeast,63.9,48.0,980.0,D
Timber Drive Elementary,North Central,60.4,52.0,416.0,D
Concord Middle,Southwest,60.4,42.0,703.0,D
Scotland Early College High,Sandhills,40.0,83.0,224.0,B
Phillip O Berry Academy of Technology,Southwest,64.5,74.0,1482.0,B
Shallotte Middle,Southeast,58.5,52.0,670.0,D
Owen Middle,Western,62.8,52.0,415.0,D
Oakley Elementary,Western,51.2,44.0,440.0,D
Graham A Barden Elementary,Southeast,73.9,58.0,218.0,C
Saint Pauls Elementary,Sandhills,66.9,41.0,683.0,D
Perry W Harrison Elementary,North Central,32.3,79.0,210.0,B
Jacksonville Commons Elem,Southeast,69.5,39.0,538.0,F
Vance Elementary,North Central,33.6,60.0,369.0,C
North Elementary,Piedmont Triad,65.1,46.0,322.0,D
Crest High,Southwest,56.2,69.0,1084.0,C
Reid Ross Classical High,Sandhills,74.8,72.0,216.0,B
Thomasville High,Piedmont Triad,65.7,47.0,602.0,D
Smith Farm Elementary,Piedmont Triad,64.6,46.0,488.0,D
South Pine Academy,Southwest,83.3,48.0,627.0,D
Phillips Middle,North Central,30.9,75.0,613.0,B
Trindale Elementary School,Piedmont Triad,66.0,68.0,325.0,C
Margaret Hearne Elementary,North Central,91.3,60.0,391.0,C
Gillespie Park Elementary,Piedmont Triad,85.0,35.0,203.0,F
Sand Ridge Elementary,Southeast,57.3,58.0,587.0,C
North Forest Pines Elementary,North Central,38.5,65.0,559.0,C
Clear View Elementary ,Southeast,54.4,43.0,579.0,D
Rolesville Elementary,North Central,35.7,71.0,498.0,B
"Martin Luther King, Jr Middle",Southwest,54.9,28.0,958.0,F
Camden Intermediate,Northeast,24.8,73.0,441.0,B
Parkwood Elementary,North Central,70.0,47.0,584.0,D
Fuller Elementary,North Central,34.3,69.0,375.0,C
Eastern Wayne Elementary,Southeast,68.4,40.0,509.0,D
South Johnston High,North Central,55.4,62.0,1289.0,C
Palisades High School,Southwest,49.7,60.0,1615.0,C
Stateside Elementary,Southeast,40.8,44.0,572.0,D
North Garner Middle,North Central,56.5,53.0,970.0,D
Asheville Middle,Western,49.7,57.0,578.0,C
Crain's Creek Middle,Sandhills,50.6,49.0,569.0,D
Weaverville Primary,Western,41.7,79.0,216.0,B
Lowell Elementary,Southwest,73.6,60.0,404.0,C
Walnut Cove Elementary School,Piedmont Triad,73.8,54.0,227.0,D
Fremont STARS Elementary,Southeast,50.2,46.0,225.0,D
Tommy's Road Elementary,Southeast,60.4,41.0,550.0,D
Davidson Early College,Piedmont Triad,37.5,87.0,131.0,A
Johnson Street Global Studies,Piedmont Triad,72.9,37.0,402.0,F
Union Pines High,Sandhills,32.9,68.0,1401.0,C
Vienna Elementary,Piedmont Triad,29.4,82.0,772.0,B
Scotts Creek Elementary,Western,70.5,51.0,441.0,D
Forest Hills Global Elementary,Southeast,78.3,39.0,346.0,F
Wilmington Early College High,Southeast,34.8,91.0,236.0,A
L J Bell Elementary,Sandhills,61.3,59.0,464.0,C
Bailey Middle,Southwest,21.1,82.0,1325.0,B
Hawk Eye Elementary,Sandhills,77.6,42.0,344.0,D
Olive Chapel Elementary,North Central,10.6,84.0,962.0,B
Southmont Elementary,Piedmont Triad,68.3,58.0,281.0,C
Northern Guilford High,Piedmont Triad,25.9,73.0,1348.0,B
Isaac Dickson Elementary,Western,38.3,60.0,396.0,C
Hasty Elementary,Piedmont Triad,69.6,70.0,416.0,B
Guilford Elementary,Piedmont Triad,67.6,51.0,557.0,D
Elizabeth City Pasquotank Early College,Northeast,40.6,78.0,102.0,B
Pumpkin Center Intermediate,Southwest,45.3,67.0,314.0,C
Crestdale Middle,Southwest,40.1,70.0,986.0,B
Fletcher Elementary,Western,53.4,65.0,461.0,C
Park View Elementary,Southwest,51.8,59.0,597.0,C
Weeksville Elementary,Northeast,50.2,68.0,210.0,C
South Lenoir High,Southeast,50.0,54.0,713.0,D
Northern Middle,North Central,71.4,42.0,456.0,D
Elise Middle,Sandhills,85.6,44.0,207.0,D
West Pender Middle,Southeast,87.8,48.0,178.0,D
Butler High School,Southwest,46.0,72.0,1817.0,B
Garinger High School,Southwest,51.6,45.0,1638.0,D
First Flight Middle School,Northeast,33.7,77.0,610.0,B
E Lawson Brown Middle,Piedmont Triad,62.2,54.0,534.0,D
Long Creek Elementary,Southwest,67.6,55.0,473.0,C
Druid Hills Academy,Southwest,68.3,30.0,262.0,F
Dilworth Elementary School: Latta Campus,Southwest,18.4,82.0,286.0,B
Gamewell Elementary,Northwest,82.1,41.0,481.0,D
Fuquay-Varina High,North Central,26.0,78.0,1875.0,B
Middle Creek Elementary,North Central,33.3,68.0,642.0,C
Eastover Elementary,Southwest,28.7,74.0,344.0,B
Fred T Foard High,Northwest,42.4,67.0,927.0,C
Edwin A Alderman Elementary,Piedmont Triad,64.4,58.0,372.0,C
Polk County Early College,Western,56.5,97.0,74.0,A
Washington Elementary,North Central,31.6,70.0,491.0,B
Macon Early College High School,Western,50.4,83.0,116.0,B
West Middle,Sandhills,73.9,51.0,306.0,D
Hayesville High,Western,50.3,77.0,381.0,B
Powell Elementary,North Central,50.2,62.0,270.0,C
Maiden Middle School,Northwest,52.1,63.0,417.0,C
Meadow View Elementary,Southeast,60.9,45.0,531.0,D
Highland Renaissance Academy,Southwest,66.3,52.0,345.0,D
Richmond Early College High,Sandhills,47.1,91.0,291.0,A
Allen Middle,Piedmont Triad,70.1,42.0,687.0,D
Wake EC of Information & Biotechnologies,North Central,14.8,97.0,125.0,A
Stedman Primary,Sandhills,43.4,77.0,156.0,B
Irwin Academic Center,Southwest,33.2,67.0,397.0,C
Mabel Elementary,Northwest,66.9,51.0,142.0,D
Ridgewood Elementary,Northeast,48.5,74.0,727.0,B
Walter R Johnson Middle,Northwest,89.9,46.0,458.0,D
Northwest Cabarrus High,Southwest,36.5,76.0,1119.0,B
Long Hill Elementary,Sandhills,38.9,75.0,436.0,B
The Downtown School,Piedmont Triad,25.2,79.0,389.0,B
Glendale-Kenly Elementary,North Central,66.4,58.0,452.0,C
Mary C Williams Elementary,Southeast,65.8,68.0,398.0,C
Franklinville Elementary School,Piedmont Triad,70.9,49.0,317.0,D
Johnsonville Elementary,North Central,63.5,50.0,470.0,D
Harding University High School,Southwest,65.6,51.0,1190.0,D
Porters Neck Elementary,Southeast,25.4,77.0,614.0,B
Randleman Middle School,Piedmont Triad,67.9,47.0,820.0,D
Newton-Conover Middle,Northwest,66.5,58.0,601.0,C
Fairview Elementary,Southwest,35.3,76.0,417.0,B
Brinson Memorial Elementary,Southeast,55.5,55.0,457.0,C
Lexington Senior High School,Piedmont Triad,66.1,60.0,893.0,C
Weldon STEM High School Career Academies,Northeast,73.6,42.0,118.0,D
Broadway Elementary,North Central,81.0,42.0,462.0,D
Dixon Middle,Southeast,39.0,61.0,932.0,C
River Bend Middle,Northwest,69.0,52.0,473.0,D
Julius I Foust Elementary,Piedmont Triad,72.7,45.0,224.0,D
Union Grove Elementary,Southwest,54.2,56.0,220.0,C
Southeast Middle,Southwest,67.7,37.0,557.0,F
Corinth-Holders Elementary,North Central,58.2,63.0,548.0,C
Englewood Elementary,North Central,74.8,38.0,568.0,F
Ramseur Elementary School,Piedmont Triad,66.5,46.0,326.0,D
Ellenboro Elementary School,Western,62.3,70.0,556.0,B
Baileywick Road Elementary,North Central,60.3,51.0,347.0,D
Weddington Elementary,Southwest,5.1,89.0,689.0,A
Acme Delco Elementary,Sandhills,63.9,50.0,286.0,D
Cherryville High,Southwest,60.9,72.0,482.0,B
Warren County Middle,North Central,69.4,36.0,391.0,F
Cumberland Mills Elementary,Sandhills,66.0,47.0,557.0,D
Brunson Elementary,Piedmont Triad,57.7,60.0,408.0,C
Black Mountain Primary,Western,57.8,63.0,325.0,C
Chapel Grove Elementary,Southwest,71.8,47.0,340.0,D
Jimmy C Draughn High School,Northwest,51.8,76.0,669.0,B
District No 7 Elementary,Sandhills,37.3,72.0,179.0,B
Robert B Glenn High School,Piedmont Triad,73.5,49.0,1424.0,D
Forest View Elementary,North Central,59.7,49.0,644.0,D
Hodge Road Elementary,North Central,68.9,53.0,508.0,D
Leicester Elementary,Western,70.5,57.0,375.0,C
Southwest Guilford High,Piedmont Triad,51.1,60.0,1624.0,C
Salem Elementary,Northwest,68.9,72.0,374.0,B
Alderman Road Elementary,Sandhills,47.8,61.0,621.0,C
Poplin Elementary,Southwest,35.6,77.0,731.0,B
Cooleemee Elementary,Piedmont Triad,77.9,56.0,456.0,C
Fair Grove Elementary,Piedmont Triad,60.9,71.0,510.0,B
Wahl Coates Elementary,Northeast,79.6,44.0,410.0,D
Davie County Virtual School,Piedmont Triad,57.1,59.0,34.0,C
Ronald W Reagan High School,Piedmont Triad,31.0,86.0,2087.0,A
Durham School of the Arts,North Central,35.4,81.0,1682.0,B
Oxendine Elementary,Sandhills,84.1,54.0,279.0,D
Holly Grove Elementary,North Central,11.2,83.0,907.0,B
Gray's Creek Middle,Sandhills,50.4,60.0,1119.0,C
Porter Ridge Elementary,Southwest,49.9,62.0,672.0,C
Northern High,North Central,63.1,48.0,1268.0,D
Morehead City Primary,Southeast,39.4,73.0,522.0,B
Lewisville Middle,Piedmont Triad,35.1,74.0,826.0,B
J F Kennedy High,Piedmont Triad,70.7,47.0,374.0,D
Orange Middle,North Central,40.6,57.0,524.0,C
Roberson High,Western,43.9,76.0,1443.0,B
New Hope Elementary,Southwest,32.7,74.0,508.0,B
Rex-Rennert Elementary,Sandhills,73.6,36.0,369.0,F
Wentworth Elementary,Piedmont Triad,53.6,62.0,494.0,C
New Hope Elementary,North Central,73.0,54.0,535.0,D
Magnolia Elementary,Sandhills,65.4,55.0,754.0,C
Endy Elementary,Southwest,42.1,48.0,337.0,D
Heritage High,North Central,25.6,77.0,1779.0,B
Ronda-Clingman Elementary School,Northwest,42.8,68.0,281.0,C
Bethesda Elementary,North Central,59.5,48.0,620.0,D
Lead Mine Elementary,North Central,51.3,59.0,375.0,C
City of Medicine Academy,North Central,62.5,83.0,331.0,B
Hunter Huss High,Southwest,83.1,54.0,1056.0,D
South Point High,Southwest,31.2,82.0,939.0,B
North Wilkes High School,Northwest,56.8,79.0,596.0,B
Lowe's Grove Middle,North Central,76.3,40.0,687.0,D
Woodfin Elementary,Western,53.0,45.0,130.0,D
J D Clement Early College HS,North Central,47.4,92.0,389.0,A
Bessemer City Middle,Southwest,66.7,57.0,504.0,C
Lawsonville Elementary School,Piedmont Triad,47.1,59.0,117.0,C
Mountain View Elementary School,Northwest,59.3,63.0,436.0,C
Morehead Elem at Camp Glenn,Southeast,39.9,65.0,290.0,C
Ibraham Elementary,Piedmont Triad,81.1,52.0,342.0,D
Old Town Elementary,Piedmont Triad,72.3,53.0,568.0,D
Bethel Elementary,Northwest,49.6,60.0,123.0,C
West Charlotte High School,Southwest,66.0,53.0,1444.0,D
The School for Creative Studies,North Central,57.1,57.0,513.0,C
West Rowan High,Southwest,54.8,51.0,1073.0,D
Kingswood Elementary,North Central,46.8,57.0,379.0,C
Carl A Furr Elementary,Southwest,60.2,51.0,833.0,D
Union Middle,Sandhills,66.7,48.0,419.0,D
Hemby Bridge Elementary,Southwest,33.7,70.0,450.0,B
Oakboro Choice STEM,Southwest,25.9,73.0,342.0,B
Sandy Ridge  Elementary School,Piedmont Triad,73.6,59.0,157.0,C
Fox Road Elementary,North Central,70.1,53.0,462.0,D
East Wilkes High School,Northwest,49.7,72.0,479.0,B
Winding Springs Elementary,Southwest,58.1,51.0,699.0,D
Andrews Elementary,Western,64.7,49.0,333.0,D
Elizabeth M Cashwell Elementary,Sandhills,70.8,48.0,583.0,D
New Town Elementary,Southwest,8.5,87.0,758.0,A
Waccamaw,Southeast,64.4,70.0,431.0,B
Hallsboro-Artesia Elementary,Sandhills,69.2,54.0,324.0,D
Cramerton Middle,Southwest,38.2,83.0,909.0,B
Collettsville School,Northwest,68.2,63.0,315.0,C
John A Holmes High,Northeast,58.1,62.0,573.0,C
Rogers-Herr Middle,North Central,47.6,72.0,638.0,B
East Garner Middle,North Central,72.8,39.0,1174.0,F
Spring Creek Middle,Southeast,61.9,53.0,617.0,D
Black Mountain Elementary,Western,53.4,65.0,147.0,C
Bridgeton Elementary,Southeast,71.6,59.0,352.0,C
Purnell Swett High,Sandhills,60.8,60.0,1510.0,C
Central Cabarrus High,Southwest,56.9,63.0,1281.0,C
Early College of Forsyth Co,Piedmont Triad,37.6,91.0,282.0,A
Midway High,Sandhills,41.7,71.0,744.0,B
Wendell Elementary,North Central,65.6,43.0,424.0,D
Lincoln Elementary,Southeast,60.9,61.0,678.0,C
Lakeshore Elementary,Southwest,29.8,66.0,682.0,C
Union Chapel Elementary,Sandhills,69.9,52.0,446.0,D
Wayne Early / Middle College High,Southeast,52.7,87.0,224.0,A
Huntingtowne Farms Elementary,Southwest,77.8,45.0,800.0,D
Jay M Robinson High,Southwest,51.4,66.0,1064.0,C
Currituck County High,Northeast,34.1,63.0,1036.0,C
East Forsyth High,Piedmont Triad,54.1,59.0,1602.0,C
Hobbton Middle,Sandhills,61.8,54.0,411.0,D
Marvin Ridge High,Southwest,5.0,94.0,2064.0,A
Cary Elementary,North Central,41.1,74.0,470.0,B
Rural Hall Elementary,Piedmont Triad,57.8,56.0,475.0,C
Palisades Park Elementary,Southwest,39.8,78.0,923.0,B
Rashkis Elementary,North Central,44.3,72.0,421.0,B
Wheatmore Middle School,Piedmont Triad,51.5,57.0,499.0,C
Cumberland Polytechnic,Sandhills,43.2,93.0,284.0,A
Pleasant Garden Elementary,Piedmont Triad,54.8,66.0,428.0,C
Millbridge Elementary,Southwest,47.5,61.0,568.0,C
Archer Elementary,Piedmont Triad,71.2,57.0,367.0,C
Elmhurst Elementary,Northeast,59.1,54.0,447.0,D
Catawba Heights Elementary,Southwest,69.8,59.0,258.0,C
Welborn Middle,Piedmont Triad,71.2,32.0,421.0,F
East Iredell Middle,Southwest,77.8,31.0,354.0,F
Abbotts Creek Elementary,North Central,32.8,77.0,771.0,B
J R Ingram Jr Elementary,North Central,65.9,60.0,404.0,C
Southwest High,Southeast,54.6,55.0,675.0,C
Southeastern Stokes Middle School,Piedmont Triad,63.1,49.0,399.0,D
Matthews Elementary,Southwest,31.6,73.0,809.0,B
Vinson-Bynum Elementary,North Central,78.5,59.0,476.0,C
Jonesville Elementary,Piedmont Triad,83.1,59.0,253.0,C
Whitaker Elementary,Piedmont Triad,27.9,79.0,542.0,B
Ellerbe Middle,Sandhills,57.6,55.0,213.0,C
West Yadkin Elementary,Piedmont Triad,71.8,61.0,394.0,C
Tramway Elementary,North Central,48.0,70.0,537.0,B
Trexler Middle,Southeast,47.0,50.0,824.0,D
Falkland Elementary,Northeast,77.0,49.0,252.0,D
South Central,Northeast,56.8,64.0,1603.0,C
Powhatan Elementary,North Central,33.4,74.0,606.0,B
WB Wicker Elementary,North Central,85.3,50.0,575.0,D
Polk County High School,Western,52.6,72.0,556.0,B
Partnership Elementary,North Central,36.0,73.0,271.0,B
Walnut Creek Elementary,North Central,58.1,51.0,490.0,D
Hunters Creek Elementary,Southeast,65.7,50.0,642.0,D
Cleveland ECHS,Southwest,56.6,85.0,213.0,A
New Century International Middle,Sandhills,55.5,57.0,389.0,C
James Y Joyner Elementary,Piedmont Triad,66.9,47.0,238.0,D
Park Road Montessori,Southwest,16.7,73.0,433.0,B
Forest Park Elementary,Southwest,63.9,48.0,455.0,D
Harry M Arndt Middle,Northwest,62.5,56.0,626.0,C
Bonlee School,North Central,62.0,59.0,294.0,C
Wake Forest Elementary,North Central,56.7,59.0,317.0,C
Cochrane Collegiate Academy,Southwest,52.5,36.0,902.0,F
Southwest Primary ,Northwest,74.9,48.0,278.0,D
Kitty Hawk Elementary School,Northeast,18.0,76.0,451.0,B
Brier Creek Elementary,Piedmont Triad,69.3,66.0,204.0,C
David D Jones Elementary,Piedmont Triad,55.1,57.0,646.0,C
Granville Academy,North Central,44.2,60.0,228.0,C
Northwest Elementary,Southeast,82.4,52.0,471.0,D
Chantilly Montessori,Southwest,11.4,76.0,254.0,B
Stories Creek Elementary,North Central,61.6,59.0,364.0,C
McGee's Crossroads Middle,North Central,47.8,58.0,756.0,C
Hall Fletcher Elementary,Western,57.0,48.0,285.0,D
Friedberg Elementary,Piedmont Triad,36.6,73.0,435.0,B
Otis L Hairston Sr Middle,Piedmont Triad,78.4,48.0,634.0,D
Northern Granville Middle,North Central,84.2,44.0,506.0,D
West Johnston High,North Central,38.3,64.0,1439.0,C
Candor Elementary,Sandhills,94.4,41.0,329.0,D
J W McLauchlin Elementary,Sandhills,65.8,51.0,301.0,D
Military and Global Leadership,Southwest,65.3,60.0,153.0,C
Southwood Elementary,Piedmont Triad,65.0,58.0,578.0,C
Madison Elementary,Piedmont Triad,66.1,42.0,222.0,D
Ashley Park PreK-8 School,Southwest,70.6,31.0,314.0,F
Mooresville Middle,Southwest,45.2,54.0,931.0,D
Kiser Middle,Piedmont Triad,60.2,54.0,905.0,D
South Garner High,North Central,65.4,68.0,1756.0,C
Albemarle Road Elementary,Southwest,58.5,48.0,749.0,D
PCS Virtual Academy,North Central,5.5,57.0,70.0,C
Stoney Point Elementary,Sandhills,38.6,74.0,877.0,B
Westerly Hills Academy,Southwest,70.7,49.0,423.0,D
Lindley Park Elementary,Piedmont Triad,66.0,51.0,456.0,D
Pilot Mountain Middle,Piedmont Triad,56.2,75.0,452.0,B
Washington County Middle,Northeast,78.9,43.0,219.0,D
Hardin Park Elementary,Northwest,39.6,73.0,839.0,B
Creedmoor Elementary,North Central,86.9,33.0,294.0,F
Albemarle Road Middle,Southwest,55.8,40.0,920.0,D
North Harnett Primary,North Central,79.3,40.0,338.0,D
Charlotte-Mecklenburg Virtual School,Southwest,56.3,50.0,1289.0,D
Charles P Murray Middle,Southeast,35.0,77.0,877.0,B
Junaluska Elementary,Western,54.4,69.0,443.0,C
South Macon Elementary,Western,70.8,62.0,469.0,C
Mount Airy Middle,Piedmont Triad,57.7,64.0,404.0,C
Midway Elementary,Piedmont Triad,45.7,65.0,484.0,C
New Century Middle,Sandhills,31.3,66.0,629.0,C
Mount Olive Elementary School,Piedmont Triad,51.4,63.0,319.0,C
Holly Ridge Elementary,North Central,15.5,83.0,793.0,B
South Topsail Elementary,Southeast,33.1,76.0,528.0,B
Lansdowne Elementary,Southwest,45.4,67.0,566.0,C
Oakhurst STEAM Academy,Southwest,56.0,57.0,559.0,C
Stanley Middle,Southwest,55.4,65.0,664.0,C
Waldo C Falkener Sr Elementary,Piedmont Triad,78.3,36.0,494.0,F
Pollocksville Elementary,Southeast,66.4,72.0,105.0,B
Devonshire Elementary,Southwest,57.5,33.0,534.0,F
York Elementary,North Central,41.3,63.0,420.0,C
Peachtree Elementary,Western,65.3,75.0,145.0,B
SouthWest Edgecombe High,North Central,64.5,56.0,776.0,C
Red Springs Middle,Sandhills,74.1,26.0,596.0,F
Martin Middle,North Central,27.5,64.0,952.0,C
Harnett Central Middle,North Central,62.9,41.0,1018.0,D
Rocky Mount Middle,North Central,83.9,34.0,418.0,F
Ephesus Elementary,North Central,35.1,74.0,349.0,B
JCPS Virtual Academy,North Central,47.9,53.0,607.0,D
Lebanon Road Elementary,Southwest,52.4,42.0,546.0,D
Inborden Elementary S.T.E.A.M. Academy,Northeast,75.1,38.0,196.0,F
Swift Creek Elementary,North Central,57.5,59.0,218.0,C
The International School at Gregory,Southeast,45.6,60.0,515.0,C
Harnett County Early College,North Central,45.2,78.0,114.0,B
Jackson Co Early College,Western,42.9,87.0,99.0,A
Cleveland Middle,North Central,37.4,70.0,938.0,B
Holly Tree Elementary,Southeast,21.0,78.0,426.0,B
Richmond 9th Grade Academy,Sandhills,68.9,59.0,490.0,C
Hidden Valley Elementary,Southwest,60.5,50.0,906.0,D
Eugene Ashley High,Southeast,34.7,74.0,1909.0,B
McDougle Middle,North Central,29.0,68.0,750.0,C
Nesbitt Discovery Academy,Western,21.8,98.0,372.0,A
Chatham County Schools Virtual Academy,North Central,42.4,41.0,84.0,D
Tryon Elementary School,Western,48.5,72.0,353.0,B
Wake Young Men's Leadership Academy,North Central,31.3,90.0,268.0,A
Micaville Elementary,Northwest,63.8,59.0,188.0,C
Bandys High,Northwest,32.1,81.0,848.0,B
Greene Early College High,Southeast,52.3,81.0,151.0,B
Poe Elementary,North Central,58.3,59.0,260.0,C
Mountain View Elementary,Northwest,79.8,55.0,623.0,C
J W Coon Elementary,Sandhills,72.1,42.0,196.0,D
Hall-Woodward Elementary,Piedmont Triad,75.5,34.0,562.0,F
Union County Early College,Southwest,37.3,95.0,305.0,A
South Columbus High,Sandhills,50.7,59.0,659.0,C
Bugg Elementary,North Central,64.5,44.0,199.0,D
Greene County Intermediate,Southeast,66.8,46.0,358.0,D
Ayden Middle,Northeast,52.6,54.0,395.0,D
Wake Early College of Health and Science,North Central,40.0,94.0,327.0,A
Rocky River Elementary,Southwest,73.0,46.0,703.0,D
Rodgers Elementary,Northeast,49.8,67.0,220.0,C
Cuthbertson Middle,Southwest,10.4,81.0,1348.0,B
Hazelwood Elementary,Western,61.7,67.0,479.0,C
Rugby Middle,Western,39.9,74.0,803.0,B
Franklin High,Western,51.1,68.0,951.0,C
Page Street Elementary,Sandhills,75.7,49.0,228.0,D
Surf City Middle,Southeast,23.5,67.0,702.0,C
E E Smith High,Sandhills,60.8,56.0,958.0,C
North Cove Elementary School,Northwest,69.7,61.0,199.0,C
Roseboro Elementary,Sandhills,72.2,62.0,361.0,C
Vance County High School,North Central,72.3,36.0,924.0,F
Douglas Elementary,North Central,39.2,64.0,524.0,C
East McDowell Middle School,Northwest,77.8,49.0,468.0,D
Union High,Sandhills,60.6,61.0,452.0,C
Pinkston Street Elementary,North Central,76.1,47.0,220.0,D
Icard Elementary,Northwest,73.4,66.0,243.0,C
Cross Creek Early College,Sandhills,57.8,93.0,244.0,A
Gibson Elementary,Piedmont Triad,74.5,38.0,596.0,F
Louisburg Magnet High,North Central,70.2,70.0,503.0,B
Weddington High,Southwest,6.8,90.0,1819.0,A
Lewisville Elementary,Piedmont Triad,31.5,84.0,591.0,B
Dilworth Elem Sedgefield Campus,Southwest,19.5,82.0,337.0,B
Cedar Ridge High,North Central,42.8,80.0,1082.0,B
Swain County West Elementary,Western,61.5,57.0,399.0,C
Bolivia Elementary,Southeast,57.6,53.0,497.0,D
PCS Early College High School,Northeast,41.4,92.0,319.0,A
Barwell Road Elementary,North Central,82.3,51.0,681.0,D
Central Middle,Sandhills,63.1,63.0,457.0,C
Manteo Middle School,Northeast,46.9,63.0,373.0,C
Jamestown Elementary,Piedmont Triad,60.0,63.0,414.0,C
East Mooresville Intermediate,Southwest,46.0,71.0,635.0,B
Wellcome Middle,Northeast,68.9,37.0,410.0,F
Middle College HS @ DTCC,North Central,21.2,96.0,102.0,A
Fairmont Middle,Sandhills,81.8,28.0,308.0,F
Stoneville Elementary,Piedmont Triad,70.0,56.0,404.0,C
Carver Heights Elementary,Southeast,86.6,40.0,436.0,D
C C Wright Elementary School,Northwest,64.7,51.0,299.0,D
George Hildebrand Elementary,Northwest,82.0,70.0,304.0,B
Edward D Sadler Jr  Elementary School,Southwest,79.4,35.0,301.0,F
T S Cooper Elementary,Northeast,58.9,60.0,174.0,C
Broad Creek Middle,Southeast,25.8,75.0,715.0,B
Manning Elementary School,Northeast,51.5,63.0,597.0,C
Parkway Elementary,Northwest,35.1,75.0,638.0,B
W G Pearson Elementary,North Central,62.4,51.0,319.0,D
Lumberton Junior ,Sandhills,72.3,41.0,717.0,D
Green Elementary,North Central,66.9,50.0,540.0,D
Spring Lake Middle,Sandhills,74.3,47.0,508.0,D
Meadowlark Elementary,Piedmont Triad,35.8,81.0,829.0,B
Candler Elementary,Western,72.6,64.0,359.0,C
Reedy Fork Elementary,Piedmont Triad,55.1,43.0,478.0,D
Burns Middle,Southwest,69.2,58.0,738.0,C
Liberty Drive Elementary,Piedmont Triad,73.0,45.0,357.0,D
Brogden Middle,North Central,54.4,47.0,750.0,D
Rockingham Co Early College High,Piedmont Triad,37.8,89.0,315.0,A
Ligon Middle,North Central,29.7,71.0,887.0,B
Boiling Springs Elementary,Southwest,63.2,69.0,520.0,C
North Duplin Elementary,Southeast,51.7,54.0,670.0,D
Middle College of Forsyth Cnty,Piedmont Triad,39.6,94.0,105.0,A
Guy B Teachey Elementary,Piedmont Triad,72.2,55.0,447.0,C
Watauga Innovation Academy,Northwest,44.5,73.0,261.0,B
Caldwell Early College,Northwest,40.0,85.0,391.0,A
West Stokes High School,Piedmont Triad,47.1,74.0,754.0,B
Spring Creek High,Southeast,57.7,60.0,707.0,C
Fairmont High,Sandhills,64.7,49.0,778.0,D
Fuquay-Varina Middle,North Central,29.2,68.0,1181.0,C
James Kenan High,Southeast,55.1,47.0,767.0,D
Oakwood Elementary,Piedmont Triad,73.9,45.0,311.0,D
Hope Valley Elementary,North Central,67.3,52.0,634.0,D
Highland Sch of Technology,Southwest,29.1,100.0,510.0,A
Orrum Middle,Sandhills,74.7,41.0,291.0,D
Aquadale Elementary,Southwest,42.8,54.0,340.0,D
Jones Dairy Elementary,North Central,12.4,82.0,583.0,B
Manchester Elementary,Sandhills,77.7,55.0,266.0,C
Asheboro High,Piedmont Triad,70.2,56.0,1313.0,C
Parkview Village Elementary,Piedmont Triad,85.3,44.0,237.0,D
Coddle Creek Elementary,Southwest,26.8,76.0,700.0,B
Conn Elementary,North Central,43.3,67.0,511.0,C
Newport Middle,Southeast,48.8,56.0,372.0,C
West Elementary,Southwest,60.6,64.0,277.0,C
Eno Valley Elementary,North Central,63.5,50.0,538.0,D
Parkton Elementary,Sandhills,71.4,41.0,561.0,D
Norwood Elementary,Southwest,58.5,47.0,349.0,D
Gouge Elementary,Northwest,62.6,62.0,228.0,C
Oak Lane Elementary,North Central,37.7,70.0,222.0,B
Sunset Avenue Elementary,Sandhills,57.6,57.0,714.0,C
STEM Early College @ NC A&T SU,Piedmont Triad,21.4,97.0,188.0,A
Shepherd Elementary,Southwest,44.9,56.0,725.0,C
Chase Middle School,Western,53.1,55.0,489.0,C
Brooks Elementary,North Central,48.7,52.0,433.0,D
Marshville Elementary,Southwest,81.5,59.0,403.0,C
STEM Early High,North Central,61.0,68.0,253.0,C
Southwest Elementary,North Central,53.5,62.0,652.0,C
Kirkman Park Elementary,Piedmont Triad,77.9,56.0,237.0,C
Bruce Drysdale Elementary,Western,61.9,65.0,449.0,C
Burgaw Middle,Southeast,83.7,37.0,259.0,F
Early College EAST High,Southeast,22.6,88.0,199.0,A
Woodland Heights Elementary,Southwest,13.1,82.0,604.0,B
