school,region,locale,spg_score,pct_eds
Massey Hill Classical High,Sandhills,City,86.0,42.4
Mary McArthur Elementary,Sandhills,City,56.0,71.9
E Melvin Honeycutt Elementary,Sandhills,City,70.0,49.6
E E Miller Elementary,Sandhills,City,57.0,48.3
Montclair Elementary,Sandhills,City,54.0,67.5
Morganton Road Elementary,Sandhills,City,52.0,63.6
Manchester Elementary,Sandhills,City,54.0,77.7
New Century International Elementary,Sandhills,City,60.0,45.6
William H Owen Elementary,Sandhills,City,59.0,67.8
Walker-Spivey Elementary,Sandhills,City,41.0,88.7
Pine Forest Middle,Sandhills,City,59.0,55.3
Lake Rim Elementary,Sandhills,City,53.0,55.7
Pine Forest High,Sandhills,City,74.0,61.5
Ponderosa Elementary,Sandhills,City,65.0,59.7
Reid Ross Classical High,Sandhills,City,71.0,74.8
Raleigh Road Elementary,Sandhills,City,70.0,38.2
Benjamin J Martin Elementary,Sandhills,City,42.0,71.2
Rockfish Elementary,Sandhills,City,70.0,54.3
J W Seabrook Elementary,Sandhills,City,64.0,65.2
New Century International Middle,Sandhills,City,69.0,55.5
Seventy-First Classical Middle,Sandhills,City,75.0,55.8
Reid Ross Classical Middle,Sandhills,City,63.0,74.4
Seventy-First High,Sandhills,City,56.0,70.8
South View Middle,Sandhills,City,53.0,62.2
Sherwood Park Elementary,Sandhills,City,64.0,75.6
South View High,Sandhills,City,57.0,68.0
Spring Lake Middle,Sandhills,City,47.0,74.3
Stedman Elementary,Sandhills,City,72.0,47.7
Stedman Primary,Sandhills,City,72.0,43.4
Stoney Point Elementary,Sandhills,City,71.0,38.6
Sunnyside Elementary,Sandhills,City,58.0,69.4
Terry Sanford High,Sandhills,City,60.0,57.3
Vanstory Hills Elementary,Sandhills,City,75.0,36.4
Warrenwood Elementary,Sandhills,City,46.0,69.0
Westarea Elementary,Sandhills,City,45.0,72.5
Westover Middle,Sandhills,City,57.0,68.4
Westover High,Sandhills,City,58.0,61.7
William T Brown Elementary,Sandhills,City,46.0,75.3
Cumberland Virtual Academy 6-12,Sandhills,City,63.0,66.5
Cumberland Virtual Academy K-5,Sandhills,City,48.0,5.8
Cumberland Polytechnic,Sandhills,City,94.0,43.2
Alpha Academy,Sandhills,City,74.0,30.8
The Capitol Encore Academy,Sandhills,City,54.0,59.1
Central Elementary,Northeast,Rural,61.0,40.4
Currituck County High,Northeast,Rural,65.0,34.1
Currituck County Middle,Northeast,Rural,63.0,44.2
Jarvisburg Elementary,Northeast,Rural,73.0,56.4
Shawboro Elementary School,Northeast,Rural,66.0,34.1
The JP Knapp ECH (i)School,Northeast,Rural,90.0,21.3
Knotts Island Elementary,Northeast,Rural,73.0,30.4
Moyock Elementary,Northeast,Rural,65.0,16.3
Moyock Middle,Northeast,Rural,70.0,27.8
W T Griggs Elementary,Northeast,Rural,72.0,57.3
Water's Edge Village School,Northeast,Rural,75.0,5.0
Cape Hatteras Elementary School,Northeast,Town,59.0,53.0
Cape Hatteras Secondary School,Northeast,Town,68.0,48.7
Kitty Hawk Elementary School,Northeast,Town,75.0,18.0
Nags Head Elementary School,Northeast,Town,68.0,43.1
Manteo Elementary School,Northeast,Town,53.0,53.0
Manteo High School,Northeast,Town,74.0,40.0
Manteo Middle School,Northeast,Town,64.0,46.9
First Flight Elementary School,Northeast,Town,59.0,50.4
First Flight Middle School,Northeast,Town,74.0,33.7
First Flight High School,Northeast,Town,82.0,28.5
Brier Creek Elementary,Piedmont Triad,Rural,65.0,69.3
Northwest Elementary,Piedmont Triad,Rural,71.0,35.6
Southmont Elementary,Piedmont Triad,Rural,58.0,68.3
Central Davidson High,Piedmont Triad,Rural,62.0,48.3
Central Davidson Middle,Piedmont Triad,Rural,65.0,60.6
Churchland Elementary,Piedmont Triad,Rural,53.0,68.9
Davidson Early College,Piedmont Triad,Rural,96.0,37.5
Davis-Townsend Elementary,Piedmont Triad,Rural,66.0,52.8
Denton Elementary,Piedmont Triad,Rural,63.0,66.8
E Lawson Brown Middle,Piedmont Triad,Rural,53.0,62.2
East Davidson High,Piedmont Triad,Rural,64.0,53.5
Fair Grove Elementary,Piedmont Triad,Rural,60.0,60.9
Friedberg Elementary,Piedmont Triad,Rural,69.0,36.6
Hasty Elementary,Piedmont Triad,Rural,72.0,69.6
Friendship Elementary,Piedmont Triad,Rural,71.0,38.8
Ledford Middle,Piedmont Triad,Rural,59.0,52.4
Ledford Senior High,Piedmont Triad,Rural,68.0,42.7
Midway Elementary,Piedmont Triad,Rural,64.0,45.7
North Davidson High,Piedmont Triad,Rural,69.0,37.7
Oak Grove High,Piedmont Triad,Rural,73.0,30.0
North Davidson Middle,Piedmont Triad,Rural,74.0,43.6
Oak Grove Middle,Piedmont Triad,Rural,60.0,37.1
Pilot Elementary,Piedmont Triad,Rural,64.0,69.6
Reeds Elementary,Piedmont Triad,Rural,60.0,66.9
Silver Valley Elementary,Piedmont Triad,Rural,52.0,79.0
South Davidson Middle and High,Piedmont Triad,Rural,63.0,61.3
Southwood Elementary,Piedmont Triad,Rural,69.0,65.0
Tyro Elementary,Piedmont Triad,Rural,54.0,62.8
Tyro Middle,Piedmont Triad,Rural,56.0,59.4
Wallburg Elementary,Piedmont Triad,Rural,66.0,43.1
Welcome Elementary,Piedmont Triad,Rural,56.0,58.2
West Davidson High,Piedmont Triad,Rural,63.0,51.0
Yadkin Valley Regional Career Academy,Piedmont Triad,Rural,77.0,46.4
Charles England Elementary School,Piedmont Triad,Town,47.0,76.8
Lexington Middle School,Piedmont Triad,Town,52.0,72.8
Lexington Senior High School,Piedmont Triad,Town,63.0,66.1
Pickett Elementary School,Piedmont Triad,Town,49.0,76.1
South Lexington School,Piedmont Triad,Town,47.0,82.3
Southwest Elementary Global Academy,Piedmont Triad,Town,59.0,77.1
Liberty Drive Elementary,Piedmont Triad,City,48.0,73.0
Thomasville Primary,Piedmont Triad,City,44.0,79.9
Thomasville Middle,Piedmont Triad,City,34.0,65.8
Thomasville High,Piedmont Triad,City,53.0,65.7
Davidson Charter Academy,Piedmont Triad,Rural,53.0,29.6
Cooleemee Elementary,Piedmont Triad,Rural,56.0,77.9
Cornatzer Elementary,Piedmont Triad,Rural,52.0,57.8
Davie County High,Piedmont Triad,Rural,63.0,42.5
Davie County Early College High,Piedmont Triad,Rural,78.0,50.4
Davie County Virtual School,Piedmont Triad,Rural,58.0,57.1
Mocksville Elementary,Piedmont Triad,Rural,63.0,66.0
North Davie Middle,Piedmont Triad,Rural,71.0,49.8
Pinebrook Elementary,Piedmont Triad,Rural,64.0,47.2
Shady Grove Elementary,Piedmont Triad,Rural,82.0,23.3
South Davie Middle,Piedmont Triad,Rural,56.0,67.6
William R Davie Elementary,Piedmont Triad,Rural,67.0,55.0
William Ellis Middle,Piedmont Triad,Rural,76.0,31.0
B F Grady Elementary,Southeast,Rural,50.0,53.1
Beulaville Elementary,Southeast,Rural,45.0,58.7
Chinquapin Elementary,Southeast,Rural,54.0,50.4
Warsaw Elementary,Southeast,Rural,39.0,68.6
Duplin Early College High,Southeast,Rural,81.0,47.2
East Duplin High,Southeast,Rural,60.0,41.7
James Kenan High,Southeast,Rural,53.0,55.1
Kenansville Elementary,Southeast,Rural,52.0,57.3
North Duplin Elementary,Southeast,Rural,60.0,51.7
North Duplin Jr Sr High,Southeast,Rural,65.0,46.8
Rose Hill-Magnolia Elementary,Southeast,Rural,40.0,59.2
Wallace Elementary,Southeast,Rural,37.0,58.2
Wallace-Rose Hill High,Southeast,Rural,50.0,48.7
Bethesda Elementary,North Central,City,52.0,59.5
Brogden Middle,North Central,City,46.0,54.4
Burton Elementary,North Central,City,73.0,55.0
J D Clement Early College HS,North Central,City,93.0,47.4
Eastway Elementary,North Central,City,52.0,71.8
C E Jordan High,North Central,City,67.0,40.9
Easley Elementary,North Central,City,76.0,37.0
The School for Creative Studies,North Central,City,61.0,57.1
Eno Valley Elementary,North Central,City,53.0,63.5
George L Carrington Middle,North Central,City,51.0,72.8
City of Medicine Academy,North Central,City,93.0,62.5
Club Boulevard Elementary,North Central,City,66.0,43.1
Creekside Elementary,North Central,City,54.0,51.7
Glenn Elementary,North Central,City,59.0,55.6
Durham School of the Arts,North Central,City,81.0,35.4
Hillandale Elementary,North Central,City,47.0,67.0
Hillside High,North Central,City,53.0,56.1
Hope Valley Elementary,North Central,City,55.0,67.3
Holt Elementary,North Central,City,56.0,80.7
Forest View Elementary,North Central,City,60.0,59.7
James E Shepard Middle,North Central,City,60.0,78.2
Lakewood Elementary,North Central,City,49.0,52.4
Little River Elementary,North Central,City,62.0,48.2
Lakewood Montessori Middle,North Central,City,86.0,30.6
Lucas Middle,North Central,City,50.0,74.9
Fayetteville Street Elementary,North Central,City,51.0,63.2
Lowe's Grove Middle,North Central,City,34.0,76.3
George Watts Elementary,North Central,City,70.0,31.0
Mangum Elementary,North Central,City,78.0,43.7
Lyons Farm Elementary,North Central,City,75.0,29.7
Merrick-Moore Elementary,North Central,City,59.0,55.7
Middle College HS @ DTCC,North Central,City,93.0,21.2
Morehead Montessori,North Central,City,76.0,36.3
Neal Middle,North Central,City,42.0,51.9
Northern High,North Central,City,52.0,63.1
Oak Grove Elementary,North Central,City,69.0,79.3
Parkwood Elementary,North Central,City,41.0,70.0
E K Powe Elementary,North Central,City,57.0,49.9
Pearsontown Elementary,North Central,City,75.0,28.2
Riverside High,North Central,City,62.0,51.5
Sherwood Githens Middle,North Central,City,58.0,59.7
R N Harris Elementary,North Central,City,52.0,59.2
Southern School of Energy and Sustainabi,North Central,City,49.0,50.6
Sandy Ridge Elementary,North Central,City,50.0,71.7
Rogers-Herr Middle,North Central,City,73.0,47.6
Southwest Elementary,North Central,City,68.0,53.5
C C Spaulding Elementary,North Central,City,50.0,61.7
Spring Valley Elementary,North Central,City,60.0,57.0
W G Pearson Elementary,North Central,City,53.0,62.4
Y E Smith Elementary,North Central,City,36.0,64.7
Ignite Online Academy,North Central,City,50.0,16.5
Durham School of Technology,North Central,City,80.0,39.3
Maureen Joy Charter School,North Central,City,57.0,86.7
Durham Charter School,North Central,City,68.0,48.6
Community School of Digital & Visual Art,North Central,City,40.0,70.5
Kestrel Heights School,North Central,City,53.0,26.7
Research Triangle Charter,North Central,Rural,46.0,67.3
Central Park School For Children,North Central,City,59.0,28.9
Voyager Academy,North Central,City,76.0,9.8
Global Scholars Academy,North Central,City,47.0,95.0
Research Triangle High School,North Central,City,83.0,5.0
The Institute Development Young Leaders,North Central,City,59.0,44.3
Reaching All Minds Academy,North Central,City,65.0,21.1
Excelsior Classical Academy,North Central,City,54.0,20.7
KIPP Durham College Preparatory,North Central,City,45.0,70.1
Discovery Charter,North Central,City,58.0,33.9
G W Bulluck Elementary,North Central,Rural,47.0,79.4
G W Carver Elementary,North Central,Rural,62.0,67.9
Coker-Wimberly Elementary,North Central,Rural,41.0,73.3
Edgecombe Early College High,North Central,Rural,91.0,48.9
North Edgecombe High,North Central,Rural,47.0,68.9
Phillips Middle,North Central,Rural,46.0,74.4
Princeville Elementary,North Central,Rural,43.0,84.5
South Edgecombe Middle,North Central,Rural,54.0,65.8
W A Pattillo Middle,North Central,Rural,43.0,78.1
West Edgecombe Middle,North Central,Rural,44.0,74.5
SouthWest Edgecombe High,North Central,Rural,49.0,64.5
Stocks Elementary,North Central,Rural,42.0,79.3
Tarboro High,North Central,Rural,49.0,71.0
Martin Millennium Academy,North Central,Rural,53.0,72.0
North East Carolina Prep,North Central,Rural,67.0,52.3
Ashley Academy,Piedmont Triad,City,42.0,84.0
Atkins Academic & Tech High,Piedmont Triad,City,90.0,36.6
Bolton Elementary,Piedmont Triad,City,54.0,80.5
Brunson Elementary,Piedmont Triad,City,62.0,57.7
Caleb's Creek Elementary,Piedmont Triad,City,61.0,59.6
Carver High,Piedmont Triad,City,43.0,81.4
Cash Elementary,Piedmont Triad,City,65.0,59.0
Clemmons Elementary,Piedmont Triad,City,80.0,36.8
Clemmons Middle School,Piedmont Triad,City,60.0,57.2
Cook Literacy Model School,Piedmont Triad,City,51.0,90.8
The Downtown School,Piedmont Triad,City,75.0,25.2
Early College of Forsyth Co,Piedmont Triad,City,91.0,37.6
East Forsyth High,Piedmont Triad,City,58.0,54.1
East Forsyth Middle School,Piedmont Triad,City,33.0,69.6
Easton Elementary School,Piedmont Triad,City,37.0,75.6
Flat Rock Middle,Piedmont Triad,City,29.0,69.0
Forest Park Elementary,Piedmont Triad,City,51.0,76.9
Gibson Elementary,Piedmont Triad,City,31.0,74.5
Robert B Glenn High School,Piedmont Triad,City,46.0,73.5
Griffith Elementary,Piedmont Triad,City,54.0,71.5
Hall-Woodward Elementary,Piedmont Triad,City,48.0,75.5
Hanes Magnet School,Piedmont Triad,City,50.0,61.5
Virtual Academy,Piedmont Triad,City,35.0,72.3
Ibraham Elementary,Piedmont Triad,City,38.0,81.1
Jefferson Elementary,Piedmont Triad,City,77.0,41.5
Thomas Jefferson Middle,Piedmont Triad,City,70.0,44.7
Kernersville Elementary,Piedmont Triad,City,56.0,68.1
Kernersville Middle,Piedmont Triad,City,59.0,51.7
Kimberley Park Elementary,Piedmont Triad,City,50.0,86.9
Kimmel Farm Elementary,Piedmont Triad,City,58.0,62.6
Konnoak Elementary,Piedmont Triad,City,53.0,73.3
Diggs-Latham Elementary,Piedmont Triad,City,56.0,83.3
Lewisville Elementary,Piedmont Triad,City,81.0,31.5
Lewisville Middle,Piedmont Triad,City,67.0,35.1
Meadowlark Elementary,Piedmont Triad,City,76.0,35.8
Meadowlark Middle,Piedmont Triad,City,67.0,35.0
Middle College of Forsyth Cnty,Piedmont Triad,City,92.0,39.6
Mineral Springs Elementary,Piedmont Triad,City,48.0,78.1
Mineral Springs Middle,Piedmont Triad,City,29.0,76.6
Moore Magnet Elementary,Piedmont Triad,City,57.0,62.1
Mount Tabor High School,Piedmont Triad,City,60.0,59.5
Frank Morgan Elementary,Piedmont Triad,City,74.0,52.4
North Forsyth Magnet High,Piedmont Triad,City,52.0,69.2
North Hills Elementary,Piedmont Triad,City,32.0,86.8
Northwest Middle,Piedmont Triad,City,30.0,71.7
Old Richmond Elementary,Piedmont Triad,City,70.0,57.3
Old Town Elementary,Piedmont Triad,City,40.0,72.3
Paisley Magnet School,Piedmont Triad,City,34.0,68.2
Parkland High,Piedmont Triad,City,55.0,66.4
J F Kennedy High,Piedmont Triad,City,60.0,70.7
Petree Elementary,Piedmont Triad,City,33.0,80.5
Konnoak Middle School,Piedmont Triad,City,29.0,76.5
Piney Grove Elementary,Piedmont Triad,City,76.0,39.9
Ronald W Reagan High School,Piedmont Triad,City,85.0,31.0
R J Reynolds High,Piedmont Triad,City,64.0,58.3
Rural Hall Elementary,Piedmont Triad,City,53.0,57.8
Sedge Garden Elementary,Piedmont Triad,City,73.0,57.7
Sherwood Forest Elementary,Piedmont Triad,City,85.0,21.7
Smith Farm Elementary,Piedmont Triad,City,56.0,64.6
Southeast Middle,Piedmont Triad,City,37.0,69.1
South Fork Elementary,Piedmont Triad,City,46.0,72.7
Southwest Elementary,Piedmont Triad,City,71.0,38.6
Speas Elementary,Piedmont Triad,City,60.0,51.8
Union Cross Traditional Acad,Piedmont Triad,City,57.0,58.9
Vienna Elementary,Piedmont Triad,City,79.0,29.4
Walkertown Elementary,Piedmont Triad,City,50.0,63.6
Walkertown High,Piedmont Triad,City,54.0,53.2
Walkertown Middle,Piedmont Triad,City,52.0,63.2
Ward Elementary,Piedmont Triad,City,56.0,62.5
West Forsyth High,Piedmont Triad,City,76.0,37.0
Whitaker Elementary,Piedmont Triad,City,84.0,27.9
Wiley Magnet Middle,Piedmont Triad,City,41.0,60.9
Winston-Salem Preparatory Acad,Piedmont Triad,City,35.0,78.3
Quality Education Academy,Piedmont Triad,City,47.0,66.1
Carter G. Woodson School,Piedmont Triad,City,33.0,63.4
Forsyth Academy,Piedmont Triad,City,44.0,80.6
The Arts Based School,Piedmont Triad,City,73.0,35.8
NC Leadership Charter Academy,Piedmont Triad,City,82.0,16.0
Appalachian Academy at Middle Fork,Piedmont Triad,City,38.0,48.7
Bunn Elementary,North Central,Rural,65.0,71.8
Bunn High,North Central,Rural,67.0,60.7
Bunn Middle,North Central,Rural,49.0,71.9
Cedar Creek Middle,North Central,Rural,64.0,53.7
Edward Best Elementary,North Central,Rural,73.0,71.7
Franklin County Early College,North Central,Rural,89.0,43.2
Franklinton Elementary,North Central,Rural,54.0,81.6
Franklinton High,North Central,Rural,70.0,49.6
Franklinton Middle,North Central,Rural,55.0,77.4
Laurel Mill Elementary,North Central,Rural,63.0,81.4
Long Mill Elementary,North Central,Rural,57.0,56.7
Louisburg Elementary,North Central,Rural,50.0,84.7
Louisburg Magnet High,North Central,Rural,70.0,70.2
Terrell Lane Middle,North Central,Rural,48.0,79.1
Royal Elementary,North Central,Rural,66.0,74.5
Youngsville Elementary,North Central,Rural,74.0,51.7
Crosscreek Charter School,North Central,Rural,52.0,25.9
Youngsville Academy,North Central,Rural,57.0,17.0
Wake Preparatory Academy,North Central,Rural,64.0,16.6
Ashbrook High,Southwest,Suburb,55.0,72.7
Belmont Central Elementary,Southwest,Suburb,71.0,31.5
Belmont Middle,Southwest,Suburb,67.0,42.5
Bessemer City Central Elem,Southwest,Suburb,37.0,72.4
Bessemer City High,Southwest,Suburb,51.0,79.3
Gaston Early College High School,Southwest,Suburb,98.0,40.6
Bessemer City Primary,Southwest,Suburb,37.0,75.4
W B Beam Intermediate School,Southwest,Suburb,62.0,65.8
Brookside Elementary,Southwest,Suburb,45.0,66.8
Gaston Early College of Medical Sciences,Southwest,Suburb,96.0,54.1
Carr Elementary,Southwest,Suburb,53.0,64.1
Catawba Heights Elementary,Southwest,Suburb,66.0,69.8
Chapel Grove Elementary,Southwest,Suburb,55.0,71.8
Cherryville High,Southwest,Suburb,68.0,60.9
Cherryville Elementary,Southwest,Suburb,59.0,67.6
Costner Elementary,Southwest,Suburb,60.0,64.3
Stuart W Cramer High,Southwest,Suburb,71.0,44.6
Cramerton Middle,Southwest,Suburb,79.0,38.2
East Gaston High,Southwest,Suburb,59.0,48.6
Edward D Sadler Jr Elementary School,Southwest,Suburb,45.0,79.4
Forestview High,Southwest,Suburb,64.0,47.6
Gardner Park Elementary,Southwest,Suburb,49.0,65.1
W P Grier Middle School,Southwest,Suburb,42.0,71.7
Highland Sch of Technology,Southwest,Suburb,100.0,29.1
Hawks Nest STEAM Academy,Southwest,Suburb,80.0,36.0
Holbrook Middle,Southwest,Suburb,45.0,76.3
Hunter Huss High,Southwest,Suburb,51.0,83.1
J B Page Primary School,Southwest,Suburb,71.0,29.7
John Chavis Middle School,Southwest,Suburb,55.0,70.3
Kiser Elementary,Southwest,Suburb,55.0,66.4
Bessemer City Middle,Southwest,Suburb,43.0,66.7
Lingerfeldt Elementary,Southwest,Suburb,35.0,81.6
Lowell Elementary,Southwest,Suburb,61.0,73.6
McAdenville Elementary,Southwest,Suburb,75.0,50.6
Mount Holly Middle,Southwest,Suburb,60.0,63.9
New Hope Elementary,Southwest,Suburb,74.0,32.7
North Belmont Elementary,Southwest,Suburb,69.0,59.5
North Gaston High,Southwest,Suburb,57.0,65.1
Pinewood Elementary,Southwest,Suburb,69.0,57.7
Pleasant Ridge Elementary,Southwest,Suburb,48.0,64.1
Ida Rankin Elementary School,Southwest,Suburb,66.0,58.6
Robinson Elementary,Southwest,Suburb,58.0,63.7
Sherwood Elementary,Southwest,Suburb,39.0,84.7
H H Beam Elementary,Southwest,Suburb,41.0,77.7
South Point High,Southwest,Suburb,79.0,31.2
Southwest Middle,Southwest,Suburb,42.0,66.6
Springfield Primary,Southwest,Suburb,55.0,55.4
Stanley Middle,Southwest,Suburb,65.0,55.4
Tryon Elementary,Southwest,Suburb,53.0,67.5
W A Bess Elementary School,Southwest,Suburb,70.0,46.6
W C Friday Middle School,Southwest,Suburb,44.0,74.0
Woodhill Elementary,Southwest,Suburb,35.0,80.8
York Chester Middle,Southwest,Suburb,54.0,77.6
Gaston Virtual Academy,Southwest,Suburb,62.0,57.6
Piedmont Community Charter School,Southwest,City,66.0,20.3
Mountain Island Charter School,Southwest,Suburb,76.0,15.0
Community Charter School,Southwest,Suburb,60.0,11.2
Buckland Elementary,Northeast,Rural,57.0,56.8
Central Middle School,Northeast,Rural,56.0,55.5
Gates County Senior High,Northeast,Rural,63.0,51.8
Gatesville Elementary,Northeast,Rural,49.0,62.5
T S Cooper Elementary,Northeast,Rural,61.0,58.9
Robbinsville Elementary,Western,Rural,45.0,75.3
Robbinsville High,Western,Rural,63.0,67.3
Robbinsville Middle,Western,Rural,39.0,75.3
Butner-Stem Middle,North Central,Rural,53.0,78.6
Butner-Stem Elementary,North Central,Rural,62.0,82.3
C. G. Credle Elementary,North Central,Rural,52.0,89.4
G. C. Hawley Middle,North Central,Rural,52.0,61.0
Granville Academy,North Central,Rural,54.0,44.2
Granville Central High,North Central,Rural,62.0,75.1
Granville Early College High,North Central,Rural,97.0,39.6
J. F. Webb High,North Central,Rural,59.0,77.4
Mount Energy Elementary,North Central,Rural,54.0,56.9
Northern Granville Middle,North Central,Rural,41.0,84.2
South Granville High,North Central,Rural,63.0,48.1
Stovall-Shaw Elementary,North Central,Rural,56.0,80.5
Tar River Elementary,North Central,Rural,57.0,61.2
West Oxford Elementary,North Central,Rural,44.0,87.4
Wilton Elementary,North Central,Rural,63.0,55.4
Falls Lake Academy,North Central,Rural,69.0,8.2
Oxford Preparatory,North Central,Rural,83.0,13.7
Greene Central High,Southeast,Rural,54.0,61.6
Greene County Middle,Southeast,Rural,33.0,66.0
Greene Early College High,Southeast,Rural,74.0,52.3
Greene County Intermediate,Southeast,Rural,43.0,66.8
Snow Hill Primary,Southeast,Rural,37.0,73.6
West Greene Elementary,Southeast,Rural,37.0,71.0
Guilford eLearning University Prep,Piedmont Triad,City,40.0,17.9
Alamance Elementary,Piedmont Triad,City,70.0,41.4
Edwin A Alderman Elementary,Piedmont Triad,City,58.0,64.4
Allen Jay Elementary,Piedmont Triad,City,59.0,74.1
Allen Jay Middle - A Preparatory Academy,Piedmont Triad,City,46.0,46.1
Southern Guilford Middle,Piedmont Triad,City,47.0,71.0
Allen Middle,Piedmont Triad,City,46.0,70.1
T Wingate Andrews High,Piedmont Triad,City,56.0,66.8
Bessemer Elementary,Piedmont Triad,City,39.0,79.0
Bluford Elementary,Piedmont Triad,City,55.0,73.7
Brightwood Elementary,Piedmont Triad,City,50.0,73.4
Brooks Global Elementary,Piedmont Triad,City,74.0,49.2
Monticello-Brown Summit Elem,Piedmont Triad,City,60.0,69.7
Brown Summit Middle,Piedmont Triad,City,98.0,16.9
Claxton Elementary,Piedmont Triad,City,62.0,53.6
Colfax Elementary,Piedmont Triad,City,72.0,38.0
Ceasar Cone Elementary,Piedmont Triad,City,54.0,82.9
James B Dudley High,Piedmont Triad,City,52.0,70.2
Eastern Guilford High,Piedmont Triad,City,57.0,68.6
Erwin Montessori,Piedmont Triad,City,56.0,47.4
Fairview Elementary,Piedmont Triad,City,48.0,78.6
Waldo C Falkener Sr Elementary,Piedmont Triad,City,39.0,78.3
Ferndale Middle,Piedmont Triad,City,46.0,73.8
Florence Elementary,Piedmont Triad,City,73.0,55.4
Julius I Foust Elementary,Piedmont Triad,City,41.0,72.7
Cyrus P Frazier Elementary,Piedmont Triad,City,51.0,72.6
Gibsonville Elementary,Piedmont Triad,City,54.0,61.4
Gillespie Park Elementary,Piedmont Triad,City,38.0,85.0
General Greene Elementary,Piedmont Triad,City,75.0,46.3
GC Middle College High,Piedmont Triad,City,91.0,46.5
Penn-Griffin Schools,Piedmont Triad,City,49.0,69.5
Grimsley High,Piedmont Triad,City,76.0,47.0
Early College at Guilford,Piedmont Triad,City,97.0,9.3
Western Guilford Middle,Piedmont Triad,City,49.0,64.1
Middle College at GTCC-Greensboro,Piedmont Triad,City,86.0,48.8
Guilford Elementary,Piedmont Triad,City,43.0,67.6
GTCC Middle College High,Piedmont Triad,City,85.0,53.0
Otis L Hairston Sr Middle,Piedmont Triad,City,44.0,78.4
High Point Central High,Piedmont Triad,City,62.0,62.8
Kearns Academy,Piedmont Triad,City,59.0,59.0
Middle College at GTCC-High Point,Piedmont Triad,City,77.0,69.7
Hunter Elementary,Piedmont Triad,City,41.0,74.5
Irving Park Elementary,Piedmont Triad,City,57.0,59.6
Jackson Middle,Piedmont Triad,City,40.0,72.0
Jamestown Elementary,Piedmont Triad,City,63.0,60.0
Jamestown Middle,Piedmont Triad,City,53.0,69.5
Jefferson Elementary,Piedmont Triad,City,63.0,58.5
Jesse Wharton Elem,Piedmont Triad,City,75.0,37.6
Johnson Street Global Studies,Piedmont Triad,City,56.0,72.9
David D Jones Elementary,Piedmont Triad,City,55.0,55.1
James Y Joyner Elementary,Piedmont Triad,City,63.0,66.9
Kernodle Middle,Piedmont Triad,City,64.0,39.4
Kirkman Park Elementary,Piedmont Triad,City,54.0,77.9
Kiser Middle,Piedmont Triad,City,57.0,60.2
Lincoln Academy,Piedmont Triad,City,69.0,58.7
John Van Lindley Elementary,Piedmont Triad,City,69.0,56.7
Madison Elementary,Piedmont Triad,City,48.0,66.1
Eastern Guilford Middle,Piedmont Triad,City,44.0,78.4
McLeansville Elementary,Piedmont Triad,City,42.0,55.5
Ronald E. McNair Elementary,Piedmont Triad,City,50.0,65.2
Mendenhall Middle,Piedmont Triad,City,46.0,64.2
Millis Road Elementary,Piedmont Triad,City,63.0,59.1
Montlieu Academy of Technology,Piedmont Triad,City,57.0,69.8
Morehead Elementary,Piedmont Triad,City,61.0,60.2
Nathanael Greene Elementary,Piedmont Triad,City,58.0,52.5
A&T Four Middle College,Piedmont Triad,City,66.0,61.8
Northeast Guilford High,Piedmont Triad,City,52.0,60.3
Northern Guilford Elementary,Piedmont Triad,City,84.0,17.1
Northeast Guilford Middle,Piedmont Triad,City,45.0,58.1
Northern Guilford Middle,Piedmont Triad,City,68.0,31.1
Northern Guilford High,Piedmont Triad,City,81.0,25.9
Northwest Guilford High,Piedmont Triad,City,87.0,17.7
EP Pearce Elementary,Piedmont Triad,City,83.0,25.5
Northwest Guilford Middle,Piedmont Triad,City,79.0,18.4
Northwood Elementary,Piedmont Triad,City,57.0,74.7
Oak Hill Elementary,Piedmont Triad,City,42.0,76.9
Oak Ridge Elementary,Piedmont Triad,City,88.0,12.5
Oak View Elementary,Piedmont Triad,City,44.0,75.8
Page High,Piedmont Triad,City,72.0,56.0
Parkview Village Elementary,Piedmont Triad,City,38.0,85.3
Clara J Peck Elementary,Piedmont Triad,City,46.0,77.1
Pilot Elementary,Piedmont Triad,City,56.0,70.3
Pleasant Garden Elementary,Piedmont Triad,City,72.0,54.8
Lucy Ragsdale High,Piedmont Triad,City,61.0,62.7
Reedy Fork Elementary,Piedmont Triad,City,59.0,55.1
Rankin Elementary,Piedmont Triad,City,42.0,80.5
Sedalia Elementary,Piedmont Triad,City,57.0,65.4
Sedgefield Elementary,Piedmont Triad,City,48.0,68.3
Shadybrook Elementary,Piedmont Triad,City,69.0,74.0
George C Simkins Jr Elementary,Piedmont Triad,City,44.0,63.9
Ben L. Smith High School,Piedmont Triad,City,52.0,67.5
Academy at Smith,Piedmont Triad,City,67.0,78.7
Southeast Guilford High,Piedmont Triad,City,70.0,49.2
Southeast Guilford Middle,Piedmont Triad,City,50.0,57.9
Southern Elementary,Piedmont Triad,City,66.0,78.0
Southern Guilford High,Piedmont Triad,City,56.0,77.4
Southwest Elementary,Piedmont Triad,City,82.0,36.5
Southwest Guilford High,Piedmont Triad,City,71.0,51.1
Southwest Guilford Middle,Piedmont Triad,City,48.0,56.3
Sternberger Elementary,Piedmont Triad,City,85.0,12.4
STEM Early College @ NC A&T SU,Piedmont Triad,City,97.0,21.4
Stokesdale Elementary,Piedmont Triad,City,67.0,25.2
