school,region,g_lat,g_lon,spg_grade,spg_score
Happy Valley Elementary,Northwest,35.99525,-81.56044,D,48.0
Hunter Elementary,North Central,35.7746,-78.623,B,73.0
Windsor Park Elementary,Southwest,35.2232,-80.7599,C,62.0
Orange High,North Central,36.0929,-79.0947,C,64.0
South Iredell High,Southwest,35.7173,-80.91,C,65.0
Rockwell Elementary,Southwest,35.556,-80.4151,C,60.0
Chase High School,Western,35.2506,-81.8427,B,72.0
Raleigh Road Elementary,Sandhills,35.2174,-78.8409,B,75.0
Belmont Elementary School,Northeast,36.4648,-77.6749,D,52.0
Kings Mountain Intermediate,Southwest,35.2319,-81.3785,C,56.0
Shamrock Gardens Elementary,Southwest,35.23393,-80.7883,C,60.0
Pamlico County Primary,Southeast,35.138,-76.7822,C,62.0
Southwood Elementary,Southeast,35.208,-77.5646,D,51.0
Helena Elementary,North Central,36.2873,-78.9536,B,73.0
Kings Mountain High,Southwest,35.2346,-81.3701,C,64.0
Duplin Early College High,Southeast,34.9468,-77.9786,B,79.0
Rose Hill-Magnolia Elementary,Southeast,34.8501,-78.0233,F,33.0
Jamesville Elementary,Northeast,35.81032,-76.90134,C,62.0
Sun Valley Middle,Southwest,35.04203,-80.64999,D,54.0
Southwest Middle,Southwest,35.2312,-81.2075,D,48.0
North Stokes High School,Piedmont Triad,36.4643,-80.2799,C,62.0
Burton Elementary,North Central,35.9793,-78.8877,C,63.0
George L Carrington Middle,North Central,36.0873,-78.9177,C,55.0
Sunshine Elementary School,Western,35.4522,-81.8118,B,83.0
Hickory Ridge Middle,Southwest,35.309,-80.6421,A,86.0
Cash Elementary,Piedmont Triad,36.1371,-80.1228,C,63.0
Shadybrook Elementary,Piedmont Triad,36.0037,-80.0259,C,63.0
Scotts Elementary,Southwest,35.8441,-81.0136,C,58.0
East Elementary,Southwest,35.2494,-81.3303,C,63.0
Morganton Road Elementary,Sandhills,35.0796,-78.9874,C,55.0
Davis-Townsend Elementary,Piedmont Triad,35.80871,-80.16275,B,70.0
Jesse Wharton Elem,Piedmont Triad,36.1626,-79.8351,C,69.0
Heritage Middle,Northwest,35.7591,-81.5808,B,72.0
E E Miller Elementary,Sandhills,35.0544,-79.0441,C,60.0
Sycamore Lane Primary,Sandhills,34.74097,-79.48682,F,34.0
Rocky River Elementary,Southwest,34.9941,-80.6097,C,63.0
Virginia Williamson Elem,Southeast,33.9942,-78.2369,C,57.0
Emma Elementary,Western,35.5982,-82.5919,D,48.0
Crossroads Arts Sciences Early College,Southwest,35.7928,-80.8922,A,95.0
