school,region,g_lat,g_lon,spg_grade,spg_score
Bryan Road Elementary,North Central,35.66514,-78.58889,B,71.0
Table Rock Middle,Northwest,35.754,-81.7691,D,46.0
Howard L Hall Elementary,Sandhills,35.1569,-78.8876,C,59.0
Bunn Elementary,North Central,35.9409,-78.2638,C,58.0
Monroe Middle,Southwest,34.9731,-80.5389,F,35.0
Lucy S. Herring Elementary,Western,35.57751,-82.6011,C,61.0
Millis Road Elementary,Piedmont Triad,35.9961,-79.9124,C,68.0
Harkers Island Elementary,Southeast,34.6941,-76.552,C,65.0
Hayesville Primary School,Western,35.04173,-83.81213,B,71.0
North Duplin Jr Sr High,Southeast,35.1345,-78.0858,C,63.0
Koontz Elementary,Southwest,35.6244,-80.4957,F,35.0
Early College,Western,35.5707,-82.556,A,89.0
H J MacDonald Middle,Southeast,35.117,-77.0986,D,53.0
North Rowan Elementary,Southwest,35.7015,-80.426,F,26.0
West Caldwell High,Northwest,35.8868,-81.5918,C,58.0
Morehead Montessori,North Central,35.9888,-78.9137,B,74.0
Fuquay-Varina Elementary,North Central,35.6031,-78.7569,C,66.0
Central Wilkes Middle School,Northwest,36.0941,-81.1775,C,55.0
Oak Grove High,Piedmont Triad,35.94413,-80.16394,B,77.0
Sugarloaf Elementary,Western,35.3388,-82.4036,C,59.0
Troy Elementary,Sandhills,35.3617,-79.8903,D,49.0
Bruce H. Tharrington Primary ,Piedmont Triad,36.4904,-80.6018,C,63.0
Gamewell Middle,Northwest,35.8712,-81.5987,D,41.0
Grandview Middle ,Northwest,35.7038,-81.3302,D,52.0
South Edgecombe Middle,North Central,35.7768,-77.6433,D,46.0
Cabarrus Early College of Technology,Southwest,35.418,-80.61302,A,92.0
Long Mill Elementary,North Central,36.0576,-78.496,C,68.0
Walter Bickett Elementary,Southwest,34.97096,-80.58224,D,43.0
Cox Mill Elementary,Southwest,35.3935,-80.7324,A,87.0
Jarvisburg Elementary,Northeast,36.20088,-75.85766,C,69.0
Hobbton High,Sandhills,35.17778,-78.3291,C,68.0
Indian Trail Elementary,Southwest,35.0744,-80.6743,B,70.0
Township Three Elementary,Southwest,35.2171,-81.5316,D,43.0
William Amos Hough High,Southwest,35.46814,-80.82809,B,83.0
Clinton High,Sandhills,34.97194,-78.33035,C,58.0
North Belmont Elementary,Southwest,35.2727,-81.0505,B,71.0
East Robeson Primary,Sandhills,34.6247,-78.9239,B,77.0
Western Rockingham Middle,Piedmont Triad,36.4023,-79.9788,C,62.0
Warrenwood Elementary,Sandhills,35.1206,-78.909,D,46.0
Randolph Middle,Southwest,35.1842,-80.7946,B,71.0
Franklin Elementary,Piedmont Triad,36.4894,-80.631,C,60.0
Southern Elementary,Piedmont Triad,35.9443,-79.8564,C,60.0
China Grove Elementary,Southwest,35.5672,-80.5855,F,35.0
Mineral Springs Middle,Piedmont Triad,36.15616,-80.23541,F,21.0
West Mecklenburg High School,Southwest,35.2474,-80.95217,D,45.0
Weaverville Elementary,Western,35.6896,-82.5628,B,79.0
Riverside High,North Central,36.06601,-78.94834,C,64.0
East Wake High,North Central,35.81165,-78.42348,C,63.0
Monroeton Elementary,Piedmont Triad,36.3185,-79.7166,D,51.0
Pilot Mountain Elementary,Piedmont Triad,36.3896,-80.47,C,66.0
Enka Intermediate,Western,35.54372,-82.63725,D,49.0
Southern School of Energy and Sustainabi,North Central,35.9999,-78.8291,D,48.0
Central Elementary,Southwest,35.3546,-80.1955,D,40.0
Holly Springs Elementary,North Central,35.6561,-78.8283,B,83.0
E K Powe Elementary,North Central,36.013,-78.9224,C,56.0
Forest Pines Drive Elementary,North Central,35.95323,-78.54708,C,68.0
East Wilkes Middle School,Northwest,36.2469,-80.9322,C,55.0
Shady Grove Elementary,Piedmont Triad,35.9467,-80.4155,C,69.0
Princeville Elementary,North Central,35.88673,-77.52512,D,48.0
Stoney Creek Elementary,Piedmont Triad,36.345,-79.4235,D,50.0
Cumberland Academy K-5 Virtual School,Sandhills,35.06506,-78.875,D,45.0
William R Davie Elementary,Piedmont Triad,35.9804,-80.6227,C,63.0
Selwyn Elementary,Southwest,35.1678,-80.8348,A,85.0
Winecoff Elementary,Southwest,35.447,-80.6185,D,46.0
Terrell Lane Middle,North Central,36.1027,-78.2769,D,54.0
Mint Hill Elementary School,Southwest,35.15078,-80.69842,D,54.0
Swain County High School,Western,35.4473,-83.4568,C,62.0
West Rowan Middle,Southwest,35.7142,-80.5858,F,38.0
Cotswold Elementary,Southwest,35.1793,-80.7976,C,59.0
West Cary Middle,North Central,35.8025,-78.7943,B,82.0
South Elementary,Piedmont Triad,36.3291,-79.239,D,46.0
Kings Mountain Middle,Southwest,35.2304,-81.3742,C,63.0
South Davie Middle,Piedmont Triad,35.88644,-80.56855,D,51.0
Ballentine Elementary,North Central,35.61378,-78.77064,B,74.0
Freedom High,Northwest,35.7449,-81.72,C,66.0
Harrisburg Elementary,Southwest,35.3187,-80.6407,B,70.0
Ashley Elementary,Sandhills,35.0387,-78.9068,C,59.0
Spring Hill Middle,Sandhills,34.8692,-79.3774,D,41.0
H H Beam Elementary,Southwest,35.2232,-81.2024,F,32.0
Pembroke Elementary,Sandhills,34.67472,-79.19363,D,48.0
North Stanly High,Southwest,35.4269,-80.2125,C,57.0
Piney Grove Middle School,Piedmont Triad,36.4904,-80.2351,C,65.0
West View Elementary,North Central,35.5949,-78.5642,C,62.0
Wrightsboro Elementary,Southeast,34.2924,-77.92,D,43.0
Enka High,Western,35.5297,-82.6658,B,73.0
Belmont Central Elementary,Southwest,35.241,-81.0507,B,70.0
Northwest Elementary,Southeast,35.4955,-78.0322,C,62.0
North Buncombe Elementary,Western,35.7457,-82.568,C,69.0
Troutman Elementary,Southwest,35.7002,-80.8855,C,65.0
Corriher Lipe Middle,Southwest,35.5464,-80.6149,F,39.0
Rowan Co Early College,Southwest,35.63771,-80.48058,A,85.0
Briarcliff Elementary,North Central,35.7691,-78.787,B,72.0
Ignite Online Academy,North Central,35.92877,-78.99423,D,51.0
Love Memorial Elementary,Southwest,35.4495,-81.2756,C,55.0
Harris Middle,Northwest,35.9095,-82.0849,D,53.0
Northwest Cabarrus Middle,Southwest,35.4531,-80.665,C,63.0
West Marion Elementary School,Northwest,35.6211,-82.0611,C,58.0
Salemburg Elementary,Sandhills,35.01399,-78.49773,C,56.0
Dabney Elementary,North Central,36.3307,-78.4817,D,48.0
Williamston Primary,Northeast,35.8423,-77.0732,D,43.0
The JP Knapp ECH (i)School,Northeast,36.44449,-76.0141,A,90.0
Midway Elementary,Sandhills,35.17526,-78.4789,C,58.0
Western Union Elementary,Southwest,34.9251,-80.6911,C,67.0
Hot Springs Elementary,Western,35.8922,-82.8323,C,68.0
Prospect Elementary,Southwest,34.8603,-80.6139,C,66.0
Northside High,Southeast,34.7911,-77.3884,C,66.0
Bolton Elementary,Piedmont Triad,36.0742,-80.2911,D,50.0
Moncure School,North Central,35.6317,-79.0778,C,61.0
Lee Early College,North Central,35.4712,-79.1439,A,94.0
Jacksonville Commons Middle,Southeast,34.7919,-77.3928,D,48.0
Timber Drive Elementary,North Central,35.6901,-78.6358,D,52.0
Concord Middle,Southwest,35.4222,-80.5525,D,42.0
Scotland Early College High,Sandhills,34.77299,-79.47123,B,83.0
Phillip O Berry Academy of Technology,Southwest,35.2392,-80.8917,B,74.0
Shallotte Middle,Southeast,33.9654,-78.3881,D,52.0
Owen Middle,Western,35.607,-82.3751,D,52.0
Oakley Elementary,Western,35.5642,-82.5125,D,44.0
Graham A Barden Elementary,Southeast,34.89741,-76.91644,C,58.0
Saint Pauls Elementary,Sandhills,34.8075,-78.9621,D,41.0
Perry W Harrison Elementary,North Central,35.8088,-79.1598,B,79.0
Jacksonville Commons Elem,Southeast,34.7955,-77.3916,F,39.0
Vance Elementary,North Central,35.6551,-78.668,C,60.0
North Elementary,Piedmont Triad,36.5293,-79.3968,D,46.0
Crest High,Southwest,35.2723,-81.6094,C,69.0
Reid Ross Classical High,Sandhills,35.102,-78.877,B,72.0
Thomasville High,Piedmont Triad,35.9003,-80.0761,D,47.0
Smith Farm Elementary,Piedmont Triad,36.0817,-80.14088,D,46.0
South Pine Academy,Southwest,35.13656,-80.94368,D,48.0
Phillips Middle,North Central,35.9361,-79.0469,B,75.0
Trindale Elementary School,Piedmont Triad,35.9014,-79.9636,C,68.0
Margaret Hearne Elementary,North Central,35.7325,-77.9091,C,60.0
Gillespie Park Elementary,Piedmont Triad,36.04933,-79.778,F,35.0
Sand Ridge Elementary,Southeast,34.6635,-77.2013,C,58.0
North Forest Pines Elementary,North Central,35.9533,-78.5475,C,65.0
Clear View Elementary ,Southeast,34.80477,-77.51502,D,43.0
Rolesville Elementary,North Central,35.9186,-78.4626,B,71.0
"Martin Luther King, Jr Middle",Southwest,35.2634,-80.7785,F,28.0
Camden Intermediate,Northeast,36.33167,-76.18275,B,73.0
Parkwood Elementary,North Central,35.8914,-78.9064,D,47.0
Fuller Elementary,North Central,35.75466,-78.62445,C,69.0
Eastern Wayne Elementary,Southeast,35.3733,-77.8765,D,40.0
South Johnston High,North Central,35.4097,-78.501,C,62.0
Palisades High School,Southwest,35.09153,-81.02086,C,60.0
Stateside Elementary,Southeast,34.85588,-77.48121,D,44.0
North Garner Middle,North Central,35.7155,-78.6121,D,53.0
Asheville Middle,Western,35.58673,-82.5601,C,57.0
Crain's Creek Middle,Sandhills,35.27231,-79.28473,D,49.0
Weaverville Primary,Western,35.6948,-82.5609,B,79.0
Lowell Elementary,Southwest,35.2782,-81.0906,C,60.0
Walnut Cove Elementary School,Piedmont Triad,36.3242,-80.1503,D,54.0
Fremont STARS Elementary,Southeast,35.5451,-77.97729,D,46.0
Tommy's Road Elementary,Southeast,35.41334,-77.93697,D,41.0
Davidson Early College,Piedmont Triad,35.86482,-80.18247,A,87.0
Johnson Street Global Studies,Piedmont Triad,35.978,-80.0175,F,37.0
Union Pines High,Sandhills,35.3179,-79.347,C,68.0
Vienna Elementary,Piedmont Triad,36.1414,-80.3886,B,82.0
Scotts Creek Elementary,Western,35.4092,-83.1778,D,51.0
Forest Hills Global Elementary,Southeast,34.2307,-77.9139,F,39.0
Wilmington Early College High,Southeast,34.3227,-77.8788,A,91.0
L J Bell Elementary,Sandhills,34.9472,-79.7659,C,59.0
Bailey Middle,Southwest,35.4675,-80.838,B,82.0
Hawk Eye Elementary,Sandhills,34.9149,-79.2648,D,42.0
Olive Chapel Elementary,North Central,35.7348,-78.8943,B,84.0
Southmont Elementary,Piedmont Triad,35.66452,-80.27174,C,58.0
Northern Guilford High,Piedmont Triad,36.209,-79.807,B,73.0
Isaac Dickson Elementary,Western,35.59546,-82.56483,C,60.0
Hasty Elementary,Piedmont Triad,35.9223,-80.0818,B,70.0
Guilford Elementary,Piedmont Triad,36.09929,-79.91222,D,51.0
Elizabeth City Pasquotank Early College,Northeast,36.3249,-76.22025,B,78.0
Pumpkin Center Intermediate,Southwest,35.51713,-81.1353,C,67.0
Crestdale Middle,Southwest,35.1287,-80.7181,B,70.0
Fletcher Elementary,Western,35.4092,-82.4977,C,65.0
Park View Elementary,Southwest,35.5902,-80.8015,C,59.0
Weeksville Elementary,Northeast,36.2045,-76.1681,C,68.0
South Lenoir High,Southeast,35.14619,-77.70447,D,54.0
Northern Middle,North Central,36.4282,-78.9782,D,42.0
Elise Middle,Sandhills,35.4362,-79.5894,D,44.0
West Pender Middle,Southeast,34.5284,-78.103,D,48.0
Butler High School,Southwest,35.1203,-80.6916,B,72.0
Garinger High School,Southwest,35.2411,-80.7829,D,45.0
First Flight Middle School,Northeast,36.00523,-75.66764,B,77.0
E Lawson Brown Middle,Piedmont Triad,35.8485,-80.1047,D,54.0
Long Creek Elementary,Southwest,35.34945,-80.89069,C,55.0
Druid Hills Academy,Southwest,35.2573,-80.8243,F,30.0
Dilworth Elementary School: Latta Campus,Southwest,35.2114,-80.8516,B,82.0
Gamewell Elementary,Northwest,35.8688,-81.5973,D,41.0
Fuquay-Varina High,North Central,35.59773,-78.79649,B,78.0
Middle Creek Elementary,North Central,35.6703,-78.7592,C,68.0
Eastover Elementary,Southwest,35.1966,-80.8217,B,74.0
Fred T Foard High,Northwest,35.6175,-81.3711,C,67.0
Edwin A Alderman Elementary,Piedmont Triad,36.0407,-79.8679,C,58.0
Polk County Early College,Western,35.2638,-82.18329,A,97.0
Washington Elementary,North Central,35.7678,-78.6432,B,70.0
Macon Early College High School,Western,35.16047,-83.38153,B,83.0
West Middle,Sandhills,35.3195,-79.94472,D,51.0
Hayesville High,Western,35.04103,-83.81511,B,77.0
Powell Elementary,North Central,35.7956,-78.6032,C,62.0
Maiden Middle School,Northwest,35.5811,-81.2176,C,63.0
Meadow View Elementary,Southeast,34.77137,-77.52516,D,45.0
Highland Renaissance Academy,Southwest,35.2556,-80.8032,D,52.0
Richmond Early College High,Sandhills,34.9052,-79.70974,A,91.0
Allen Middle,Piedmont Triad,36.01072,-79.82392,D,42.0
Wake EC of Information & Biotechnologies,North Central,35.85323,-78.83962,A,97.0
Stedman Primary,Sandhills,35.0108,-78.6928,B,77.0
Irwin Academic Center,Southwest,35.23748,-80.85005,C,67.0
Mabel Elementary,Northwest,36.3225,-81.7465,D,51.0
Ridgewood Elementary,Northeast,35.56376,-77.42804,B,74.0
Walter R Johnson Middle,Northwest,35.7805,-81.692,D,46.0
Northwest Cabarrus High,Southwest,35.4506,-80.6622,B,76.0
Long Hill Elementary,Sandhills,35.1626,-78.8655,B,75.0
The Downtown School,Piedmont Triad,36.1008,-80.2471,B,79.0
Glendale-Kenly Elementary,North Central,35.6218,-78.1553,C,58.0
Mary C Williams Elementary,Southeast,34.1388,-77.9138,C,68.0
Franklinville Elementary School,Piedmont Triad,35.7475,-79.6935,D,49.0
Johnsonville Elementary,North Central,35.3003,-79.0984,D,50.0
Harding University High School,Southwest,35.2366,-80.9026,D,51.0
Porters Neck Elementary,Southeast,34.28691,-77.77405,B,77.0
Randleman Middle School,Piedmont Triad,35.8254,-79.8182,D,47.0
Newton-Conover Middle,Northwest,35.73125,-81.22495,C,58.0
Fairview Elementary,Southwest,35.16022,-80.53991,B,76.0
Brinson Memorial Elementary,Southeast,35.068,-77.0175,C,55.0
Lexington Senior High School,Piedmont Triad,35.8333,-80.2483,C,60.0
Weldon STEM High School Career Academies,Northeast,36.412,-77.6118,D,42.0
Broadway Elementary,North Central,35.4521,-79.0528,D,42.0
Dixon Middle,Southeast,34.54328,-77.436,C,61.0
River Bend Middle,Northwest,35.7531,-81.1163,D,52.0
Julius I Foust Elementary,Piedmont Triad,36.0374,-79.8099,D,45.0
Union Grove Elementary,Southwest,36.0222,-80.8645,C,56.0
Southeast Middle,Southwest,35.608,-80.5088,F,37.0
Corinth-Holders Elementary,North Central,35.7336,-78.2998,C,63.0
Englewood Elementary,North Central,35.96178,-77.84083,F,38.0
Ramseur Elementary School,Piedmont Triad,35.7395,-79.6538,D,46.0
Ellenboro Elementary School,Western,35.3514,-81.7736,B,70.0
Baileywick Road Elementary,North Central,35.9094,-78.665,D,51.0
Weddington Elementary,Southwest,35.0013,-80.7254,A,89.0
Acme Delco Elementary,Sandhills,34.3478,-78.2543,D,50.0
Cherryville High,Southwest,35.3897,-81.3799,B,72.0
Warren County Middle,North Central,36.4312,-78.1707,F,36.0
Cumberland Mills Elementary,Sandhills,35.0023,-78.9683,D,47.0
Brunson Elementary,Piedmont Triad,36.0943,-80.2647,C,60.0
Black Mountain Primary,Western,35.6207,-82.318,C,63.0
Chapel Grove Elementary,Southwest,35.20729,-81.24818,D,47.0
Jimmy C Draughn High School,Northwest,35.76669,-81.54367,B,76.0
District No 7 Elementary,Sandhills,35.1497,-78.7055,B,72.0
Robert B Glenn High School,Piedmont Triad,36.0679,-80.1135,D,49.0
Forest View Elementary,North Central,35.989,-78.9921,D,49.0
Hodge Road Elementary,North Central,35.7761,-78.5224,D,53.0
Leicester Elementary,Western,35.6589,-82.7071,C,57.0
Southwest Guilford High,Piedmont Triad,36.0467,-79.9888,C,60.0
Salem Elementary,Northwest,35.6943,-81.701,B,72.0
Alderman Road Elementary,Sandhills,34.8952,-78.8603,C,61.0
Poplin Elementary,Southwest,35.0863,-80.6006,B,77.0
Cooleemee Elementary,Piedmont Triad,35.8155,-80.5522,C,56.0
Fair Grove Elementary,Piedmont Triad,35.8473,-80.0797,B,71.0
Wahl Coates Elementary,Northeast,35.6062,-77.3497,D,44.0
Davie County Virtual School,Piedmont Triad,35.89713,-80.55673,C,59.0
Ronald W Reagan High School,Piedmont Triad,36.1703,-80.3652,A,86.0
Durham School of the Arts,North Central,36.0033,-78.9066,B,81.0
Oxendine Elementary,Sandhills,34.8058,-79.2584,D,54.0
Holly Grove Elementary,North Central,35.6319,-78.8505,B,83.0
Gray's Creek Middle,Sandhills,34.8904,-78.90059,C,60.0
Porter Ridge Elementary,Southwest,35.0937,-80.5757,C,62.0
Northern High,North Central,36.0941,-78.9126,D,48.0
Morehead City Primary,Southeast,34.7338,-76.7777,B,73.0
Lewisville Middle,Piedmont Triad,36.11845,-80.39902,B,74.0
J F Kennedy High,Piedmont Triad,36.1073,-80.2346,D,47.0
Orange Middle,North Central,36.0896,-79.095,C,57.0
Roberson High,Western,35.4859,-82.5351,B,76.0
New Hope Elementary,Southwest,35.2105,-81.0837,B,74.0
Rex-Rennert Elementary,Sandhills,34.8438,-79.0888,F,36.0
Wentworth Elementary,Piedmont Triad,36.3972,-79.7442,C,62.0
New Hope Elementary,North Central,36.0199,-79.0751,D,54.0
Magnolia Elementary,Sandhills,34.7116,-79.0035,C,55.0
Endy Elementary,Southwest,35.3064,-80.2792,D,48.0
Heritage High,North Central,35.9409,-78.5101,B,77.0
Ronda-Clingman Elementary School,Northwest,36.2048,-80.9375,C,68.0
Bethesda Elementary,North Central,35.9402,-78.8378,D,48.0
Lead Mine Elementary,North Central,35.8916,-78.6564,C,59.0
City of Medicine Academy,North Central,36.0473,-78.9006,B,83.0
Hunter Huss High,Southwest,35.2406,-81.2069,D,54.0
South Point High,Southwest,35.2229,-81.0387,B,82.0
North Wilkes High School,Northwest,36.2826,-81.0987,B,79.0
Lowe's Grove Middle,North Central,35.9047,-78.8908,D,40.0
Woodfin Elementary,Western,35.6324,-82.5852,D,45.0
J D Clement Early College HS,North Central,35.9747,-78.9009,A,92.0
Bessemer City Middle,Southwest,35.2726,-81.2998,C,57.0
Lawsonville Elementary School,Piedmont Triad,36.4865,-80.22994,C,59.0
Mountain View Elementary School,Northwest,36.2485,-81.1161,C,63.0
Morehead Elem at Camp Glenn,Southeast,34.7253,-76.7495,C,65.0
Ibraham Elementary,Piedmont Triad,36.1593,-80.2003,D,52.0
Old Town Elementary,Piedmont Triad,36.1639,-80.3331,D,53.0
Bethel Elementary,Northwest,36.2946,-81.8488,C,60.0
West Charlotte High School,Southwest,35.2654,-80.8585,D,53.0
The School for Creative Studies,North Central,36.072,-78.8229,C,57.0
West Rowan High,Southwest,35.6993,-80.6431,D,51.0
Kingswood Elementary,North Central,35.7932,-78.7782,C,57.0
Carl A Furr Elementary,Southwest,35.3769,-80.6856,D,51.0
Union Middle,Sandhills,34.86733,-78.25526,D,48.0
Hemby Bridge Elementary,Southwest,35.107,-80.618,B,70.0
Oakboro Choice STEM,Southwest,35.23367,-80.33586,B,73.0
Sandy Ridge  Elementary School,Piedmont Triad,36.5004,-80.1021,C,59.0
Fox Road Elementary,North Central,35.8728,-78.5555,D,53.0
East Wilkes High School,Northwest,36.2264,-80.9276,B,72.0
Winding Springs Elementary,Southwest,35.3064,-80.8286,D,51.0
Andrews Elementary,Western,35.1983,-83.8253,D,49.0
Elizabeth M Cashwell Elementary,Sandhills,35.0065,-78.9149,D,48.0
New Town Elementary,Southwest,34.9782,-80.7055,A,87.0
Waccamaw,Southeast,34.064,-78.5156,B,70.0
Hallsboro-Artesia Elementary,Sandhills,34.31091,-78.57912,D,54.0
Cramerton Middle,Southwest,35.2231,-81.0867,B,83.0
Collettsville School,Northwest,35.927,-81.6728,C,63.0
John A Holmes High,Northeast,36.0665,-76.6047,C,62.0
Rogers-Herr Middle,North Central,35.9731,-78.9353,B,72.0
East Garner Middle,North Central,35.7024,-78.5859,F,39.0
Spring Creek Middle,Southeast,35.23102,-77.89429,D,53.0
Black Mountain Elementary,Western,35.62206,-82.3144,C,65.0
Bridgeton Elementary,Southeast,35.1546,-77.0422,C,59.0
Purnell Swett High,Sandhills,34.6961,-79.2467,C,60.0
Central Cabarrus High,Southwest,35.3627,-80.5839,C,63.0
Early College of Forsyth Co,Piedmont Triad,36.0693,-80.27283,A,91.0
Midway High,Sandhills,35.17508,-78.47313,B,71.0
Wendell Elementary,North Central,35.7857,-78.3723,D,43.0
Lincoln Elementary,Southeast,34.2618,-78.0429,C,61.0
Lakeshore Elementary,Southwest,35.6076,-80.8875,C,66.0
Union Chapel Elementary,Sandhills,34.7124,-79.1342,D,52.0
Wayne Early / Middle College High,Southeast,35.40359,-77.94468,A,87.0
Huntingtowne Farms Elementary,Southwest,35.1327,-80.8599,D,45.0
Jay M Robinson High,Southwest,35.363,-80.6614,C,66.0
Currituck County High,Northeast,36.3725,-75.9691,C,63.0
East Forsyth High,Piedmont Triad,36.1166,-80.1504,C,59.0
Hobbton Middle,Sandhills,35.17632,-78.32917,D,54.0
Marvin Ridge High,Southwest,34.974,-80.7959,A,94.0
Cary Elementary,North Central,35.7819,-78.7811,B,74.0
Rural Hall Elementary,Piedmont Triad,36.24131,-80.29059,C,56.0
Palisades Park Elementary,Southwest,35.0936,-81.0259,B,78.0
Rashkis Elementary,North Central,35.9144,-79.0081,B,72.0
Wheatmore Middle School,Piedmont Triad,35.8862,-79.9541,C,57.0
Cumberland Polytechnic,Sandhills,35.06628,-78.92172,A,93.0
Pleasant Garden Elementary,Piedmont Triad,35.96157,-79.7615,C,66.0
Millbridge Elementary,Southwest,35.6019,-80.6559,C,61.0
Archer Elementary,Piedmont Triad,36.0307,-79.8305,C,57.0
Elmhurst Elementary,Northeast,35.5958,-77.363,D,54.0
Catawba Heights Elementary,Southwest,35.2745,-81.0375,C,59.0
Welborn Middle,Piedmont Triad,35.9819,-79.9906,F,32.0
East Iredell Middle,Southwest,35.8368,-80.7901,F,31.0
Abbotts Creek Elementary,North Central,35.90237,-78.57862,B,77.0
J R Ingram Jr Elementary,North Central,35.4696,-79.2073,C,60.0
Southwest High,Southeast,34.749,-77.4827,C,55.0
Southeastern Stokes Middle School,Piedmont Triad,36.3102,-80.1388,D,49.0
Matthews Elementary,Southwest,35.11319,-80.72344,B,73.0
Vinson-Bynum Elementary,North Central,35.7201,-77.9403,C,59.0
Jonesville Elementary,Piedmont Triad,36.2325,-80.8443,C,59.0
Whitaker Elementary,Piedmont Triad,36.1065,-80.2868,B,79.0
Ellerbe Middle,Sandhills,35.0742,-79.7633,C,55.0
West Yadkin Elementary,Piedmont Triad,36.123,-80.78779,C,61.0
Tramway Elementary,North Central,35.4378,-79.2266,B,70.0
Trexler Middle,Southeast,34.89947,-77.54141,D,50.0
Falkland Elementary,Northeast,35.6697,-77.4874,D,49.0
South Central,Northeast,35.5413,-77.4288,C,64.0
Powhatan Elementary,North Central,35.62726,-78.39149,B,74.0
WB Wicker Elementary,North Central,35.4734,-79.1825,D,50.0
Polk County High School,Western,35.2656,-82.1852,B,72.0
Partnership Elementary,North Central,35.7897,-78.6477,B,73.0
Walnut Creek Elementary,North Central,35.7458,-78.5883,D,51.0
Hunters Creek Elementary,Southeast,34.73889,-77.33846,D,50.0
Cleveland ECHS,Southwest,35.2804,-81.4923,A,85.0
New Century International Middle,Sandhills,35.011,-79.03916,C,57.0
James Y Joyner Elementary,Piedmont Triad,36.1158,-79.8165,D,47.0
Park Road Montessori,Southwest,35.1775,-80.8488,B,73.0
Forest Park Elementary,Southwest,35.4804,-80.6041,D,48.0
Harry M Arndt Middle,Northwest,35.7755,-81.2672,C,56.0
Bonlee School,North Central,35.64386,-79.41969,C,59.0
Wake Forest Elementary,North Central,35.97637,-78.51371,C,59.0
Cochrane Collegiate Academy,Southwest,35.2465,-80.7501,F,36.0
Southwest Primary ,Northwest,35.7096,-81.3869,D,48.0
Kitty Hawk Elementary School,Northeast,36.098,-75.7332,B,76.0
Brier Creek Elementary,Piedmont Triad,35.79765,-80.08701,C,66.0
David D Jones Elementary,Piedmont Triad,36.06,-79.7991,C,57.0
Granville Academy,North Central,36.31674,-78.58614,C,60.0
Northwest Elementary,Southeast,35.2784,-77.6033,D,52.0
Chantilly Montessori,Southwest,35.2077,-80.8003,B,76.0
Stories Creek Elementary,North Central,36.42094,-79.00244,C,59.0
McGee's Crossroads Middle,North Central,35.5131,-78.5742,C,58.0
Hall Fletcher Elementary,Western,35.5746,-82.5741,D,48.0
Friedberg Elementary,Piedmont Triad,35.9924,-80.2766,B,73.0
Otis L Hairston Sr Middle,Piedmont Triad,36.082,-79.7383,D,48.0
Northern Granville Middle,North Central,36.34329,-78.6039,D,44.0
West Johnston High,North Central,35.523,-78.5372,C,64.0
Candor Elementary,Sandhills,35.2899,-79.7471,D,41.0
J W McLauchlin Elementary,Sandhills,34.982,-79.2228,D,51.0
Military and Global Leadership,Southwest,35.22846,-80.81476,C,60.0
Southwood Elementary,Piedmont Triad,35.7327,-80.268,C,58.0
Madison Elementary,Piedmont Triad,36.1461,-79.696,D,42.0
Ashley Park PreK-8 School,Southwest,35.2327,-80.8907,F,31.0
Mooresville Middle,Southwest,35.5551,-80.78843,D,54.0
Kiser Middle,Piedmont Triad,36.0858,-79.8195,D,54.0
South Garner High,North Central,35.65502,-78.57968,C,68.0
Albemarle Road Elementary,Southwest,35.1971,-80.7295,D,48.0
PCS Virtual Academy,North Central,36.41102,-78.98042,C,57.0
Stoney Point Elementary,Sandhills,34.9796,-79.0148,B,74.0
Westerly Hills Academy,Southwest,35.2319,-80.9115,D,49.0
Lindley Park Elementary,Piedmont Triad,35.7018,-79.8068,D,51.0
Pilot Mountain Middle,Piedmont Triad,36.4016,-80.4721,B,75.0
Washington County Middle,Northeast,35.87143,-76.60993,D,43.0
Hardin Park Elementary,Northwest,36.2224,-81.662,B,73.0
Creedmoor Elementary,North Central,36.12329,-78.67826,F,33.0
Albemarle Road Middle,Southwest,35.19865,-80.72901,D,40.0
North Harnett Primary,North Central,35.4783,-78.7796,D,40.0
Charlotte-Mecklenburg Virtual School,Southwest,35.25894,-80.84221,D,50.0
Charles P Murray Middle,Southeast,34.1007,-77.9091,B,77.0
Junaluska Elementary,Western,35.5086,-82.963,C,69.0
South Macon Elementary,Western,35.1134,-83.3996,C,62.0
Mount Airy Middle,Piedmont Triad,36.4967,-80.5906,C,64.0
Midway Elementary,Piedmont Triad,35.9521,-80.214,C,65.0
New Century Middle,Sandhills,35.3247,-79.3554,C,66.0
Mount Olive Elementary School,Piedmont Triad,36.3194,-80.373,C,63.0
Holly Ridge Elementary,North Central,35.654,-78.8165,B,83.0
South Topsail Elementary,Southeast,34.3842,-77.7135,B,76.0
Lansdowne Elementary,Southwest,35.1433,-80.7823,C,67.0
Oakhurst STEAM Academy,Southwest,35.19503,-80.78373,C,57.0
Stanley Middle,Southwest,35.3669,-81.1039,C,65.0
Waldo C Falkener Sr Elementary,Piedmont Triad,36.0814,-79.7358,F,36.0
Pollocksville Elementary,Southeast,35.0049,-77.2254,B,72.0
Devonshire Elementary,Southwest,35.2451,-80.746,F,33.0
York Elementary,North Central,35.85282,-78.68362,C,63.0
Peachtree Elementary,Western,35.0913,-83.9456,B,75.0
SouthWest Edgecombe High,North Central,35.83652,-77.65832,C,56.0
Red Springs Middle,Sandhills,34.8197,-79.1863,F,26.0
Martin Middle,North Central,35.8125,-78.6862,C,64.0
Harnett Central Middle,North Central,35.4629,-78.7862,D,41.0
Rocky Mount Middle,North Central,35.9418,-77.8076,F,34.0
