school,region,locale,spg_score,pct_eds
Edwin A Alderman Elementary,Piedmont Triad,City,58.0,64.4
Polk County Early College,Western,Rural,97.0,56.5
Washington Elementary,North Central,City,70.0,31.6
Macon Early College High School,Western,Rural,83.0,50.4
West Middle,Sandhills,Rural,51.0,73.9
Hayesville High,Western,Rural,77.0,50.3
Powell Elementary,North Central,City,62.0,50.2
Maiden Middle School,Northwest,Rural,63.0,52.1
Meadow View Elementary,Southeast,City,45.0,60.9
Highland Renaissance Academy,Southwest,City,52.0,66.3
Richmond Early College High,Sandhills,Town,91.0,47.1
Allen Middle,Piedmont Triad,City,42.0,70.1
Wake EC of Information & Biotechnologies,North Central,City,97.0,14.8
Stedman Primary,Sandhills,City,77.0,43.4
Irwin Academic Center,Southwest,City,67.0,33.2
Mabel Elementary,Northwest,Rural,51.0,66.9
Ridgewood Elementary,Northeast,Rural,74.0,48.5
Walter R Johnson Middle,Northwest,Rural,46.0,89.9
Northwest Cabarrus High,Southwest,Rural,76.0,36.5
Long Hill Elementary,Sandhills,City,75.0,38.9
The Downtown School,Piedmont Triad,City,79.0,25.2
Glendale-Kenly Elementary,North Central,Rural,58.0,66.4
Mary C Williams Elementary,Southeast,City,68.0,65.8
Franklinville Elementary School,Piedmont Triad,Rural,49.0,70.9
Johnsonville Elementary,North Central,Rural,50.0,63.5
Harding University High School,Southwest,City,51.0,65.6
Porters Neck Elementary,Southeast,City,77.0,25.4
Randleman Middle School,Piedmont Triad,Rural,47.0,67.9
Newton-Conover Middle,Northwest,Suburb,58.0,66.5
Fairview Elementary,Southwest,Rural,76.0,35.3
Brinson Memorial Elementary,Southeast,Town,55.0,55.5
Lexington Senior High School,Piedmont Triad,Town,60.0,66.1
Weldon STEM High School Career Academies,Northeast,Rural,42.0,73.6
Broadway Elementary,North Central,Town,42.0,81.0
Dixon Middle,Southeast,City,61.0,39.0
River Bend Middle,Northwest,Rural,52.0,69.0
Julius I Foust Elementary,Piedmont Triad,City,45.0,72.7
Union Grove Elementary,Southwest,Rural,56.0,54.2
Southeast Middle,Southwest,Rural,37.0,67.7
Corinth-Holders Elementary,North Central,Rural,63.0,58.2
Englewood Elementary,North Central,Rural,38.0,74.8
Ramseur Elementary School,Piedmont Triad,Rural,46.0,66.5
Ellenboro Elementary School,Western,Rural,70.0,62.3
Baileywick Road Elementary,North Central,City,51.0,60.3
Weddington Elementary,Southwest,Rural,89.0,5.1
Acme Delco Elementary,Sandhills,Rural,50.0,63.9
Cherryville High,Southwest,Suburb,72.0,60.9
Warren County Middle,North Central,Rural,36.0,69.4
Cumberland Mills Elementary,Sandhills,City,47.0,66.0
Brunson Elementary,Piedmont Triad,City,60.0,57.7
Black Mountain Primary,Western,Suburb,63.0,57.8
Chapel Grove Elementary,Southwest,Suburb,47.0,71.8
Jimmy C Draughn High School,Northwest,Rural,76.0,51.8
District No 7 Elementary,Sandhills,City,72.0,37.3
Robert B Glenn High School,Piedmont Triad,City,49.0,73.5
Forest View Elementary,North Central,City,49.0,59.7
Hodge Road Elementary,North Central,City,53.0,68.9
Leicester Elementary,Western,Suburb,57.0,70.5
Southwest Guilford High,Piedmont Triad,City,60.0,51.1
Salem Elementary,Northwest,Rural,72.0,68.9
Alderman Road Elementary,Sandhills,City,61.0,47.8
Poplin Elementary,Southwest,Rural,77.0,35.6
Cooleemee Elementary,Piedmont Triad,Rural,56.0,77.9
Fair Grove Elementary,Piedmont Triad,Rural,71.0,60.9
Wahl Coates Elementary,Northeast,Rural,44.0,79.6
Davie County Virtual School,Piedmont Triad,Rural,59.0,57.1
Ronald W Reagan High School,Piedmont Triad,City,86.0,31.0
Durham School of the Arts,North Central,City,81.0,35.4
Oxendine Elementary,Sandhills,Rural,54.0,84.1
Holly Grove Elementary,North Central,City,83.0,11.2
Gray's Creek Middle,Sandhills,City,60.0,50.4
Porter Ridge Elementary,Southwest,Rural,62.0,49.9
Northern High,North Central,City,48.0,63.1
Morehead City Primary,Southeast,Rural,73.0,39.4
Lewisville Middle,Piedmont Triad,City,74.0,35.1
J F Kennedy High,Piedmont Triad,City,47.0,70.7
Orange Middle,North Central,Rural,57.0,40.6
Roberson High,Western,Suburb,76.0,43.9
New Hope Elementary,Southwest,Suburb,74.0,32.7
Rex-Rennert Elementary,Sandhills,Rural,36.0,73.6
Wentworth Elementary,Piedmont Triad,Town,62.0,53.6
New Hope Elementary,North Central,Rural,54.0,73.0
Magnolia Elementary,Sandhills,Rural,55.0,65.4
Endy Elementary,Southwest,Rural,48.0,42.1
Heritage High,North Central,City,77.0,25.6
Ronda-Clingman Elementary School,Northwest,Rural,68.0,42.8
Bethesda Elementary,North Central,City,48.0,59.5
Lead Mine Elementary,North Central,City,59.0,51.3
City of Medicine Academy,North Central,City,83.0,62.5
Hunter Huss High,Southwest,Suburb,54.0,83.1
South Point High,Southwest,Suburb,82.0,31.2
North Wilkes High School,Northwest,Rural,79.0,56.8
Lowe's Grove Middle,North Central,City,40.0,76.3
Woodfin Elementary,Western,Suburb,45.0,53.0
J D Clement Early College HS,North Central,City,92.0,47.4
Bessemer City Middle,Southwest,Suburb,57.0,66.7
Lawsonville Elementary School,Piedmont Triad,Rural,59.0,47.1
Mountain View Elementary School,Northwest,Rural,63.0,59.3
Morehead Elem at Camp Glenn,Southeast,Rural,65.0,39.9
Ibraham Elementary,Piedmont Triad,City,52.0,81.1
Old Town Elementary,Piedmont Triad,City,53.0,72.3
Bethel Elementary,Northwest,Rural,60.0,49.6
West Charlotte High School,Southwest,City,53.0,66.0
The School for Creative Studies,North Central,City,57.0,57.1
West Rowan High,Southwest,Rural,51.0,54.8
Kingswood Elementary,North Central,City,57.0,46.8
Carl A Furr Elementary,Southwest,Rural,51.0,60.2
Union Middle,Sandhills,Rural,48.0,66.7
Hemby Bridge Elementary,Southwest,Rural,70.0,33.7
Oakboro Choice STEM,Southwest,Rural,73.0,25.9
Sandy Ridge  Elementary School,Piedmont Triad,Rural,59.0,73.6
Fox Road Elementary,North Central,City,53.0,70.1
East Wilkes High School,Northwest,Rural,72.0,49.7
Winding Springs Elementary,Southwest,City,51.0,58.1
Andrews Elementary,Western,Rural,49.0,64.7
Elizabeth M Cashwell Elementary,Sandhills,City,48.0,70.8
New Town Elementary,Southwest,Rural,87.0,8.5
Waccamaw,Southeast,Rural,70.0,64.4
Hallsboro-Artesia Elementary,Sandhills,Rural,54.0,69.2
Cramerton Middle,Southwest,Suburb,83.0,38.2
Collettsville School,Northwest,Suburb,63.0,68.2
John A Holmes High,Northeast,Rural,62.0,58.1
Rogers-Herr Middle,North Central,City,72.0,47.6
East Garner Middle,North Central,City,39.0,72.8
Spring Creek Middle,Southeast,Rural,53.0,61.9
Black Mountain Elementary,Western,Suburb,65.0,53.4
Bridgeton Elementary,Southeast,Town,59.0,71.6
Purnell Swett High,Sandhills,Rural,60.0,60.8
Central Cabarrus High,Southwest,Rural,63.0,56.9
Early College of Forsyth Co,Piedmont Triad,City,91.0,37.6
Midway High,Sandhills,Rural,71.0,41.7
Wendell Elementary,North Central,City,43.0,65.6
Lincoln Elementary,Southeast,Rural,61.0,60.9
Lakeshore Elementary,Southwest,Rural,66.0,29.8
Union Chapel Elementary,Sandhills,Rural,52.0,69.9
Wayne Early / Middle College High,Southeast,Rural,87.0,52.7
Huntingtowne Farms Elementary,Southwest,City,45.0,77.8
Jay M Robinson High,Southwest,Rural,66.0,51.4
Currituck County High,Northeast,Rural,63.0,34.1
East Forsyth High,Piedmont Triad,City,59.0,54.1
Hobbton Middle,Sandhills,Rural,54.0,61.8
Marvin Ridge High,Southwest,Rural,94.0,5.0
Cary Elementary,North Central,City,74.0,41.1
Rural Hall Elementary,Piedmont Triad,City,56.0,57.8
Palisades Park Elementary,Southwest,City,78.0,39.8
Rashkis Elementary,North Central,Suburb,72.0,44.3
Wheatmore Middle School,Piedmont Triad,Rural,57.0,51.5
Cumberland Polytechnic,Sandhills,City,93.0,43.2
Pleasant Garden Elementary,Piedmont Triad,City,66.0,54.8
Millbridge Elementary,Southwest,Rural,61.0,47.5
Archer Elementary,Piedmont Triad,City,57.0,71.2
Elmhurst Elementary,Northeast,Rural,54.0,59.1
Catawba Heights Elementary,Southwest,Suburb,59.0,69.8
Welborn Middle,Piedmont Triad,City,32.0,71.2
East Iredell Middle,Southwest,Rural,31.0,77.8
Abbotts Creek Elementary,North Central,City,77.0,32.8
J R Ingram Jr Elementary,North Central,Town,60.0,65.9
Southwest High,Southeast,City,55.0,54.6
Southeastern Stokes Middle School,Piedmont Triad,Rural,49.0,63.1
Matthews Elementary,Southwest,City,73.0,31.6
Vinson-Bynum Elementary,North Central,Rural,59.0,78.5
Jonesville Elementary,Piedmont Triad,Rural,59.0,83.1
Whitaker Elementary,Piedmont Triad,City,79.0,27.9
Ellerbe Middle,Sandhills,Town,55.0,57.6
West Yadkin Elementary,Piedmont Triad,Rural,61.0,71.8
Tramway Elementary,North Central,Town,70.0,48.0
Trexler Middle,Southeast,City,50.0,47.0
Falkland Elementary,Northeast,Rural,49.0,77.0
South Central,Northeast,Rural,64.0,56.8
Powhatan Elementary,North Central,Rural,74.0,33.4
WB Wicker Elementary,North Central,Town,50.0,85.3
Polk County High School,Western,Rural,72.0,52.6
Partnership Elementary,North Central,City,73.0,36.0
Walnut Creek Elementary,North Central,City,51.0,58.1
Hunters Creek Elementary,Southeast,City,50.0,65.7
Cleveland ECHS,Southwest,Rural,85.0,56.6
New Century International Middle,Sandhills,City,57.0,55.5
James Y Joyner Elementary,Piedmont Triad,City,47.0,66.9
Park Road Montessori,Southwest,City,73.0,16.7
Forest Park Elementary,Southwest,Suburb,48.0,63.9
Harry M Arndt Middle,Northwest,Rural,56.0,62.5
Bonlee School,North Central,Rural,59.0,62.0
Wake Forest Elementary,North Central,City,59.0,56.7
Cochrane Collegiate Academy,Southwest,City,36.0,52.5
Southwest Primary ,Northwest,City,48.0,74.9
Kitty Hawk Elementary School,Northeast,Town,76.0,18.0
Brier Creek Elementary,Piedmont Triad,Rural,66.0,69.3
David D Jones Elementary,Piedmont Triad,City,57.0,55.1
Granville Academy,North Central,Rural,60.0,44.2
Northwest Elementary,Southeast,Rural,52.0,82.4
Chantilly Montessori,Southwest,City,76.0,11.4
Stories Creek Elementary,North Central,Town,59.0,61.6
McGee's Crossroads Middle,North Central,Rural,58.0,47.8
Hall Fletcher Elementary,Western,City,48.0,57.0
Friedberg Elementary,Piedmont Triad,Rural,73.0,36.6
Otis L Hairston Sr Middle,Piedmont Triad,City,48.0,78.4
Northern Granville Middle,North Central,Rural,44.0,84.2
West Johnston High,North Central,Rural,64.0,38.3
Candor Elementary,Sandhills,Rural,41.0,94.4
J W McLauchlin Elementary,Sandhills,Town,51.0,65.8
Military and Global Leadership,Southwest,City,60.0,65.3
Southwood Elementary,Piedmont Triad,Rural,58.0,65.0
Madison Elementary,Piedmont Triad,City,42.0,66.1
Ashley Park PreK-8 School,Southwest,City,31.0,70.6
Mooresville Middle,Southwest,Town,54.0,45.2
Kiser Middle,Piedmont Triad,City,54.0,60.2
South Garner High,North Central,City,68.0,65.4
Albemarle Road Elementary,Southwest,City,48.0,58.5
PCS Virtual Academy,North Central,Town,57.0,5.5
Stoney Point Elementary,Sandhills,City,74.0,38.6
Westerly Hills Academy,Southwest,City,49.0,70.7
Lindley Park Elementary,Piedmont Triad,Town,51.0,66.0
Pilot Mountain Middle,Piedmont Triad,Rural,75.0,56.2
Washington County Middle,Northeast,Rural,43.0,78.9
Hardin Park Elementary,Northwest,Rural,73.0,39.6
Creedmoor Elementary,North Central,Rural,33.0,86.9
Albemarle Road Middle,Southwest,City,40.0,55.8
North Harnett Primary,North Central,Rural,40.0,79.3
Charlotte-Mecklenburg Virtual School,Southwest,City,50.0,56.3
Charles P Murray Middle,Southeast,City,77.0,35.0
Junaluska Elementary,Western,Suburb,69.0,54.4
South Macon Elementary,Western,Rural,62.0,70.8
Mount Airy Middle,Piedmont Triad,Town,64.0,57.7
Midway Elementary,Piedmont Triad,Rural,65.0,45.7
New Century Middle,Sandhills,Rural,66.0,31.3
Mount Olive Elementary School,Piedmont Triad,Rural,63.0,51.4
Holly Ridge Elementary,North Central,City,83.0,15.5
South Topsail Elementary,Southeast,Rural,76.0,33.1
Lansdowne Elementary,Southwest,City,67.0,45.4
Oakhurst STEAM Academy,Southwest,City,57.0,56.0
Stanley Middle,Southwest,Suburb,65.0,55.4
Waldo C Falkener Sr Elementary,Piedmont Triad,City,36.0,78.3
Pollocksville Elementary,Southeast,Rural,72.0,66.4
Devonshire Elementary,Southwest,City,33.0,57.5
York Elementary,North Central,City,63.0,41.3
Peachtree Elementary,Western,Rural,75.0,65.3
SouthWest Edgecombe High,North Central,Rural,56.0,64.5
Red Springs Middle,Sandhills,Rural,26.0,74.1
Martin Middle,North Central,City,64.0,27.5
Harnett Central Middle,North Central,Rural,41.0,62.9
Rocky Mount Middle,North Central,Rural,34.0,83.9
Ephesus Elementary,North Central,Suburb,74.0,35.1
JCPS Virtual Academy,North Central,Rural,53.0,47.9
Lebanon Road Elementary,Southwest,City,42.0,52.4
Inborden Elementary S.T.E.A.M. Academy,Northeast,Rural,38.0,75.1
Swift Creek Elementary,North Central,Rural,59.0,57.5
The International School at Gregory,Southeast,City,60.0,45.6
Harnett County Early College,North Central,Rural,78.0,45.2
Jackson Co Early College,Western,Rural,87.0,42.9
Cleveland Middle,North Central,Rural,70.0,37.4
Holly Tree Elementary,Southeast,City,78.0,21.0
Richmond 9th Grade Academy,Sandhills,Town,59.0,68.9
Hidden Valley Elementary,Southwest,City,50.0,60.5
Eugene Ashley High,Southeast,City,74.0,34.7
McDougle Middle,North Central,Suburb,68.0,29.0
Nesbitt Discovery Academy,Western,Suburb,98.0,21.8
Chatham County Schools Virtual Academy,North Central,Rural,41.0,42.4
Tryon Elementary School,Western,Rural,72.0,48.5
Wake Young Men's Leadership Academy,North Central,City,90.0,31.3
Micaville Elementary,Northwest,Rural,59.0,63.8
Bandys High,Northwest,Rural,81.0,32.1
Greene Early College High,Southeast,Rural,81.0,52.3
Poe Elementary,North Central,City,59.0,58.3
Mountain View Elementary,Northwest,Rural,55.0,79.8
J W Coon Elementary,Sandhills,City,42.0,72.1
Hall-Woodward Elementary,Piedmont Triad,City,34.0,75.5
Union County Early College,Southwest,Rural,95.0,37.3
South Columbus High,Sandhills,Rural,59.0,50.7
Bugg Elementary,North Central,City,44.0,64.5
Greene County Intermediate,Southeast,Rural,46.0,66.8
Ayden Middle,Northeast,Rural,54.0,52.6
Wake Early College of Health and Science,North Central,City,94.0,40.0
Rocky River Elementary,Southwest,Rural,46.0,73.0
Rodgers Elementary,Northeast,Rural,67.0,49.8
Cuthbertson Middle,Southwest,Rural,81.0,10.4
Hazelwood Elementary,Western,Suburb,67.0,61.7
Rugby Middle,Western,Suburb,74.0,39.9
Franklin High,Western,Rural,68.0,51.1
Page Street Elementary,Sandhills,Rural,49.0,75.7
Surf City Middle,Southeast,Rural,67.0,23.5
E E Smith High,Sandhills,City,56.0,60.8
North Cove Elementary School,Northwest,Rural,61.0,69.7
Roseboro Elementary,Sandhills,Rural,62.0,72.2
Vance County High School,North Central,Rural,36.0,72.3
Douglas Elementary,North Central,City,64.0,39.2
East McDowell Middle School,Northwest,Rural,49.0,77.8
Union High,Sandhills,Rural,61.0,60.6
Pinkston Street Elementary,North Central,Rural,47.0,76.1
Icard Elementary,Northwest,Rural,66.0,73.4
Cross Creek Early College,Sandhills,City,93.0,57.8
Gibson Elementary,Piedmont Triad,City,38.0,74.5
Louisburg Magnet High,North Central,Rural,70.0,70.2
Weddington High,Southwest,Rural,90.0,6.8
Lewisville Elementary,Piedmont Triad,City,84.0,31.5
Dilworth Elem Sedgefield Campus,Southwest,City,82.0,19.5
Cedar Ridge High,North Central,Rural,80.0,42.8
Swain County West Elementary,Western,Rural,57.0,61.5
Bolivia Elementary,Southeast,Rural,53.0,57.6
PCS Early College High School,Northeast,Rural,92.0,41.4
Barwell Road Elementary,North Central,City,51.0,82.3
Central Middle,Sandhills,Town,63.0,63.1
Manteo Middle School,Northeast,Town,63.0,46.9
Jamestown Elementary,Piedmont Triad,City,63.0,60.0
East Mooresville Intermediate,Southwest,Town,71.0,46.0
Wellcome Middle,Northeast,Rural,37.0,68.9
Middle College HS @ DTCC,North Central,City,96.0,21.2
Fairmont Middle,Sandhills,Rural,28.0,81.8
Stoneville Elementary,Piedmont Triad,Town,56.0,70.0
Carver Heights Elementary,Southeast,Rural,40.0,86.6
C C Wright Elementary School,Northwest,Rural,51.0,64.7
George Hildebrand Elementary,Northwest,Rural,70.0,82.0
Edward D Sadler Jr  Elementary School,Southwest,Suburb,35.0,79.4
T S Cooper Elementary,Northeast,Rural,60.0,58.9
Broad Creek Middle,Southeast,Rural,75.0,25.8
Manning Elementary School,Northeast,Town,63.0,51.5
Parkway Elementary,Northwest,Rural,75.0,35.1
W G Pearson Elementary,North Central,City,51.0,62.4
Lumberton Junior ,Sandhills,Rural,41.0,72.3
Green Elementary,North Central,City,50.0,66.9
Spring Lake Middle,Sandhills,City,47.0,74.3
Meadowlark Elementary,Piedmont Triad,City,81.0,35.8
Candler Elementary,Western,Suburb,64.0,72.6
Reedy Fork Elementary,Piedmont Triad,City,43.0,55.1
Burns Middle,Southwest,Rural,58.0,69.2
Liberty Drive Elementary,Piedmont Triad,City,45.0,73.0
Brogden Middle,North Central,City,47.0,54.4
Rockingham Co Early College High,Piedmont Triad,Town,89.0,37.8
Ligon Middle,North Central,City,71.0,29.7
Boiling Springs Elementary,Southwest,Rural,69.0,63.2
North Duplin Elementary,Southeast,Rural,54.0,51.7
Middle College of Forsyth Cnty,Piedmont Triad,City,94.0,39.6
Guy B Teachey Elementary,Piedmont Triad,Town,55.0,72.2
Watauga Innovation Academy,Northwest,Rural,73.0,44.5
Caldwell Early College,Northwest,Suburb,85.0,40.0
West Stokes High School,Piedmont Triad,Rural,74.0,47.1
Spring Creek High,Southeast,Rural,60.0,57.7
Fairmont High,Sandhills,Rural,49.0,64.7
Fuquay-Varina Middle,North Central,City,68.0,29.2
James Kenan High,Southeast,Rural,47.0,55.1
Oakwood Elementary,Piedmont Triad,Rural,45.0,73.9
Hope Valley Elementary,North Central,City,52.0,67.3
Highland Sch of Technology,Southwest,Suburb,100.0,29.1
Orrum Middle,Sandhills,Rural,41.0,74.7
Aquadale Elementary,Southwest,Rural,54.0,42.8
Jones Dairy Elementary,North Central,City,82.0,12.4
Manchester Elementary,Sandhills,City,55.0,77.7
Asheboro High,Piedmont Triad,Town,56.0,70.2
Parkview Village Elementary,Piedmont Triad,City,44.0,85.3
Coddle Creek Elementary,Southwest,Rural,76.0,26.8
Conn Elementary,North Central,City,67.0,43.3
Newport Middle,Southeast,Rural,56.0,48.8
West Elementary,Southwest,Rural,64.0,60.6
Eno Valley Elementary,North Central,City,50.0,63.5
Parkton Elementary,Sandhills,Rural,41.0,71.4
Norwood Elementary,Southwest,Rural,47.0,58.5
Gouge Elementary,Northwest,Rural,62.0,62.6
Oak Lane Elementary,North Central,Town,70.0,37.7
Sunset Avenue Elementary,Sandhills,Town,57.0,57.6
STEM Early College @ NC A&T SU,Piedmont Triad,City,97.0,21.4
Shepherd Elementary,Southwest,Rural,56.0,44.9
Chase Middle School,Western,Rural,55.0,53.1
Brooks Elementary,North Central,City,52.0,48.7
Marshville Elementary,Southwest,Rural,59.0,81.5
STEM Early High,North Central,Rural,68.0,61.0
Southwest Elementary,North Central,City,62.0,53.5
Kirkman Park Elementary,Piedmont Triad,City,56.0,77.9
Bruce Drysdale Elementary,Western,Suburb,65.0,61.9
Burgaw Middle,Southeast,Rural,37.0,83.7
Early College EAST High,Southeast,Town,88.0,22.6
Woodland Heights Elementary,Southwest,Rural,82.0,13.1
Hurley Elementary,Southwest,Rural,32.0,73.7
Apex Elementary,North Central,City,67.0,29.0
Summerfield Elementary,Piedmont Triad,City,80.0,24.7
Harmony Elementary,Southwest,Rural,62.0,69.2
W H Knuckles,Sandhills,Rural,39.0,81.0
Apex High,North Central,City,80.0,20.7
Durham School of Technology,North Central,City,80.0,39.3
Southwest Middle School,Southwest,City,38.0,62.0
Gray's Creek Elementary,Sandhills,City,69.0,31.2
Franklin County Early College,North Central,Rural,91.0,43.2
Shiloh Valley Elementary,Southwest,Rural,61.0,48.5
Wolf Meadow Elementary,Southwest,Rural,33.0,63.2
Supply Elementary,Southeast,Rural,54.0,72.8
Bell Elementary,Western,Suburb,63.0,54.4
Brookside Elementary,Southwest,Suburb,49.0,66.8
Knox Middle,Southwest,Rural,22.0,75.0
Ray Childers Elementary,Northwest,Rural,61.0,74.2
Bethel Elementary,Southwest,Rural,67.0,48.7
Beaver Dam Elementary,Sandhills,City,84.0,58.2
Moyock Middle,Northeast,Rural,67.0,27.8
Catawba Elementary School,Northwest,Rural,61.0,73.2
Union Elementary,Southeast,Rural,87.0,50.4
Bessemer City Primary,Southwest,Suburb,36.0,75.4
R Max Abbott Middle,Sandhills,City,55.0,52.6
Parkwood Middle,Southwest,Rural,54.0,43.0
Gibsonville Elementary,Piedmont Triad,City,55.0,61.4
West Lee Middle,North Central,Town,39.0,70.6
Summersill Elementary,Southeast,City,53.0,66.8
C M Eppes Middle,Northeast,Rural,42.0,65.6
Fairview Elementary,Western,Suburb,78.0,42.4
Belmont Middle,Southwest,Suburb,64.0,42.5
George C Simkins Jr Elementary,Piedmont Triad,City,36.0,63.9
Northeast Elementary,Southeast,Rural,50.0,52.7
Jackson Park Elementary,Southwest,Suburb,71.0,64.6
Horton Middle,North Central,Rural,64.0,39.8
North Wake College and Career Academy,North Central,City,92.0,29.9
Sandy Grove Elementary,Sandhills,Town,53.0,60.4
J.V. Washam Elementary,Southwest,City,80.0,20.1
Tabernacle Elementary School,Piedmont Triad,Rural,66.0,75.3
Global E-Learning Academy,Piedmont Triad,Town,43.0,19.2
North Iredell High,Southwest,Rural,65.0,46.7
Carver Elementary,North Central,City,58.0,71.6
Blue Ridge Early College,Western,Rural,42.0,74.8
Benson Elementary,North Central,Rural,63.0,73.5
Olde Providence Elementary,Southwest,City,82.0,19.2
Smith Middle,North Central,Suburb,74.0,24.3
Washington Street Elementary,Sandhills,Town,45.0,77.2
Elkin High,Piedmont Triad,Town,78.0,41.2
John W Jones Elementary,North Central,Rural,64.0,75.2
North Davie Middle,Piedmont Triad,Rural,68.0,49.8
Central Middle,Piedmont Triad,Rural,53.0,71.0
Independence High School,Southwest,City,66.0,57.4
Hunters Creek Middle,Southeast,City,51.0,55.4
Farmville Middle,Northeast,Rural,48.0,64.0
North Johnston Middle,North Central,Rural,64.0,71.9
New Market Elementary School,Piedmont Triad,Rural,66.0,63.5
B O Barnes Elementary,North Central,Rural,54.0,91.3
Cullowhee Valley School,Western,Rural,52.0,68.2
Piedmont Middle School,Southwest,City,76.0,45.1
Scroggs Elementary,North Central,Suburb,79.0,29.1
James Hunt High,North Central,Rural,68.0,59.7
West Buncombe Elementary,Western,Suburb,75.0,67.8
South Stanly Middle,Southwest,Rural,52.0,56.7
South Stokes High School,Piedmont Triad,Rural,70.0,52.0
Eastern Wayne High,Southeast,Rural,49.0,58.7
West Hoke Elementary,Sandhills,Town,55.0,60.9
Collinswood Language Academy,Southwest,City,68.0,45.5
Union Cross Traditional Acad,Piedmont Triad,City,55.0,58.9
D S Johnson Elementary,North Central,Rural,27.0,93.2
Mineral Springs Elementary,Sandhills,Town,63.0,67.4
Eblen Intermediate,Western,Suburb,42.0,77.6
South Rowan High,Southwest,Rural,50.0,52.0
Lacy Elementary,North Central,City,67.0,23.9
South Davidson Middle and High,Piedmont Triad,Rural,58.0,61.3
Tyro Middle,Piedmont Triad,Rural,60.0,59.4
Highland Elementary,North Central,Rural,51.0,53.4
Harper Middle College High,Southwest,City,93.0,25.2
Rochelle Middle,Southeast,Rural,42.0,85.2
Casar Elementary,Southwest,Rural,79.0,62.1
Rockfish Elementary,Sandhills,City,66.0,54.3
Thomasville Middle,Piedmont Triad,City,42.0,65.8
South Smithfield Elementary,North Central,Rural,40.0,62.9
Davidson K-8 School,Southwest,City,84.0,12.2
Virginia Cross Elementary,North Central,Rural,50.0,95.0
Rand Road Elementary,North Central,City,73.0,47.5
Eastway Middle,Southwest,City,37.0,53.3
Wrightsville Beach Elem,Southeast,City,88.0,9.8
Oak Grove Middle,Piedmont Triad,Rural,66.0,37.1
Mendenhall Middle,Piedmont Triad,City,55.0,64.2
Sandhills Farm Life Elementary,Sandhills,Rural,82.0,27.2
Jones Intermediate,Piedmont Triad,Town,63.0,53.0
Northeastern High,Northeast,Rural,52.0,55.0
Moss Hill Elementary,Southeast,Rural,66.0,63.8
Person High,North Central,Town,62.0,61.0
Iotla Valley Elementary,Western,Rural,55.0,69.6
North Moore High,Sandhills,Rural,65.0,63.4
South Granville High,North Central,Rural,59.0,48.1
Community House Middle,Southwest,City,84.0,17.6
West Millbrook Middle,North Central,City,57.0,39.1
North Henderson High,Western,Suburb,72.0,62.2
E B Frink Middle,Southeast,Rural,54.0,59.4
Ardrey Kell High School,Southwest,City,90.0,13.8
Southern Middle,North Central,Town,57.0,63.7
Jefferson Elementary,Piedmont Triad,City,62.0,58.5
Vass-Lakeview Elementary,Sandhills,Rural,68.0,42.0
Central Elementary,Northeast,Rural,48.0,48.6
Haywood Early College,Western,Suburb,95.0,42.0
Riverwood Elementary,North Central,Rural,76.0,38.1
Southern Nash Middle,North Central,Rural,49.0,69.4
Sunset Park Elementary,Southeast,City,55.0,71.3
Stantonsburg Elementary,North Central,Rural,57.0,72.9
Whitewater Middle,Southwest,City,48.0,58.3
Southern Pines Elementary,Sandhills,Rural,56.0,52.5
Gardner Park Elementary,Southwest,Suburb,46.0,65.1
King Elementary School,Piedmont Triad,Rural,59.0,68.9
Rosewood Middle,Southeast,Rural,62.0,51.5
Hertford County Middle,Northeast,Rural,37.0,74.2
Hoke County High,Sandhills,Town,71.0,52.3
Brightwood Elementary,Piedmont Triad,City,53.0,73.4
General Greene Elementary,Piedmont Triad,City,65.0,46.3
Pittman Elementary Leadership Academy,Northeast,Rural,38.0,71.6
West Smithfield Elementary,North Central,Rural,56.0,66.7
East Chapel Hill High,North Central,Suburb,90.0,21.7
Southwestern Randolph High School,Piedmont Triad,Rural,53.0,56.0
Flat Rock Middle,Western,Suburb,53.0,70.0
Southern Middle,Sandhills,Rural,59.0,54.2
Green Valley Elementary,Northwest,Rural,57.0,63.6
Onslow Early College,Southeast,City,98.0,29.2
Hope Middle,Northeast,Rural,82.0,37.0
Early College at Guilford,Piedmont Triad,City,98.0,9.3
SanLee Middle School,North Central,Town,56.0,70.3
Swansboro Middle,Southeast,City,57.0,42.1
D H Conley High,Northeast,Rural,74.0,34.8
Morrisville Elementary,North Central,City,88.0,11.3
Western Harnett Middle,North Central,Rural,56.0,57.2
Nashville Elementary,North Central,Rural,53.0,69.2
John T Hoggard High,Southeast,City,78.0,29.2
Farmer Elementary School,Piedmont Triad,Rural,56.0,49.8
Fred L Wilson Elementary,Southwest,Suburb,50.0,59.6
Chatham Middle,North Central,Rural,44.0,89.9
Oak Grove Elementary,North Central,City,67.0,32.3
Springmore Elementary,Southwest,Rural,72.0,63.1
Rama Road Elementary,Southwest,City,56.0,55.7
Walkertown Elementary,Piedmont Triad,City,51.0,63.6
Trinity High School,Piedmont Triad,Rural,64.0,53.1
Courtney Elementary,Piedmont Triad,Rural,64.0,63.7
Patriots Elementary,Southwest,Rural,67.0,39.0
McDowell High School,Northwest,Rural,58.0,60.7
L B Yancey Elementary,North Central,Rural,43.0,76.4
Micro Elementary,North Central,Rural,72.0,73.6
Myers Park High School,Southwest,City,81.0,29.4
Dr Hubert Eaton Sr Elem,Southeast,City,82.0,30.1
Level Cross Elementary School,Piedmont Triad,Rural,60.0,63.7
