school,region,locale,spg_score,pct_eds
Brevard High,Western,Town,77.0,46.8
Sycamore Creek Elementary,North Central,City,81.0,18.0
North Brunswick High,Southeast,Rural,58.0,41.3
Arthur W Edwards Elementary,Southeast,Town,63.0,49.7
Sedgefield Elementary,Piedmont Triad,City,38.0,68.3
Apex Friendship Middle,North Central,City,88.0,11.9
Huntersville Elementary,Southwest,City,84.0,23.5
Eastern Guilford High,Piedmont Triad,City,52.0,68.6
Dixon High,Southeast,City,68.0,33.0
Sedalia Elementary,Piedmont Triad,City,50.0,65.4
Philip J Weaver Ed Center,Piedmont Triad,City,91.0,19.8
West Iredell High,Southwest,Rural,51.0,62.4
Athens Drive High,North Central,City,75.0,44.3
Pine Level Elementary,North Central,Rural,73.0,64.9
Rocky River High School,Southwest,City,55.0,69.2
Pine Valley Elementary,Southeast,City,68.0,42.5
Pleasant Ridge Elementary,Southwest,Suburb,50.0,64.1
Piney Grove Elementary,Sandhills,Rural,47.0,69.2
Locust Elementary,Southwest,Rural,78.0,34.4
Mount Olive Middle,Southeast,Rural,42.0,64.8
Southeast Middle,Piedmont Triad,City,39.0,69.1
Overhills Middle,North Central,Rural,55.0,59.4
Northridge Middle,Southwest,City,47.0,75.8
Fairview Elementary,North Central,Rural,27.0,90.0
Carolina Beach Elementary,Southeast,City,73.0,32.5
McDougle Elementary,North Central,Suburb,69.0,31.9
Rockingham Middle,Sandhills,Town,51.0,62.9
Sam D Bundy Elementary,Northeast,Rural,51.0,65.5
Speas Elementary,Piedmont Triad,City,61.0,51.8
The Innovation Academy at South Campus,North Central,Rural,80.0,51.3
Coopers Elementary,North Central,Rural,67.0,60.8
Williston Middle,Southeast,City,37.0,73.4
Northside Elementary,North Central,Suburb,61.0,47.5
Monroe Avenue Elementary,Sandhills,Town,50.0,82.0
Sandy Grove Middle,Sandhills,Town,53.0,51.7
North Hills Elementary,Piedmont Triad,City,35.0,86.8
Steele Creek Elementary,Southwest,City,56.0,76.6
Washington County High,Northeast,Rural,37.0,79.7
Elizabeth Lane Elementary,Southwest,City,86.0,13.2
Mitchell High,Northwest,Rural,62.0,51.5
Southwest Middle,Southeast,City,48.0,64.6
W C Friday Middle School,Southwest,Suburb,49.0,74.0
Lakeforest Elementary,Northeast,Rural,47.0,76.4
Webb A Murray Elementary,Northwest,Rural,53.0,82.5
Chowan Middle,Northeast,Rural,45.0,68.2
Sherwood Githens Middle,North Central,City,63.0,59.7
Enloe High,North Central,City,84.0,26.5
EP Pearce Elementary,Piedmont Triad,City,81.0,25.5
Bethel Middle,Western,Suburb,79.0,54.7
Elizabeth City Middle,Northeast,Rural,56.0,62.1
Northwest Elementary,Northeast,Rural,32.0,76.1
Reedy Creek Elementary,North Central,City,48.0,58.0
Hertford Co Early College,Northeast,Rural,86.0,38.1
Scurlock Elementary,Sandhills,Town,52.0,51.0
Childers Elementary,Southwest,Rural,62.0,66.5
River Gate Elementary,Southwest,City,60.0,57.2
Rock Springs Elementary,Southwest,Rural,78.0,21.7
Wendell Middle,North Central,City,39.0,69.5
Wake Young Women's Leadership Academy,North Central,City,84.0,31.3
Murphey Traditional Academy,Piedmont Triad,City,52.0,72.7
White Oak Elementary,North Central,City,94.0,5.0
Riverview Elementary,Northeast,Rural,42.0,70.4
North Lincoln Middle,Southwest,Rural,72.0,29.9
West Lake Middle,North Central,City,58.0,40.3
Robbins Elementary,Sandhills,Rural,51.0,84.6
Cape Fear Middle,Southeast,Rural,51.0,71.4
Manteo High School,Northeast,Town,79.0,40.0
Yates Mill Elementary,North Central,City,60.0,57.4
St James Elementary,Southwest,Rural,73.0,28.6
Cartoogechaye Elementary,Western,Rural,62.0,61.9
East Middle,Sandhills,Rural,47.0,85.6
School of Inquiry and Life Sciences,Western,City,81.0,33.0
Marie G Davis School,Southwest,City,40.0,76.1
Gaston Virtual Academy,Southwest,Suburb,58.0,57.6
South Greenville Elementary,Northeast,Rural,44.0,89.4
Wiley Elementary,North Central,City,64.0,42.4
Henderson County Early College,Western,Suburb,96.0,47.7
Topsail Annandale Elementary School,Southeast,Rural,85.0,15.9
Kimmel Farm Elementary,Piedmont Triad,City,41.0,62.6
A L Stanback Middle,North Central,Rural,53.0,58.9
Zebulon Middle,North Central,City,55.0,67.9
Northwoods Park Middle,Southeast,City,55.0,53.3
Tyrrell Elementary,Northeast,Rural,62.0,59.5
Southeast Raleigh Elementary,North Central,City,41.0,72.9
Western Harnett High,North Central,Rural,56.0,59.6
Vaughan Academy of Technology,Southwest,City,60.0,62.6
Isaac M Bear Early College High School,Southeast,City,94.0,18.4
Hamlet Middle,Sandhills,Town,61.0,70.5
Fall Creek Elementary,Piedmont Triad,Rural,72.0,54.2
Hendersonville Elementary,Western,Suburb,80.0,33.1
North Topsail Elementary,Southeast,Rural,77.0,27.0
George Watts Elementary,North Central,City,76.0,31.0
Pinewood Elementary,Southwest,Suburb,71.0,57.7
Greene Central High,Southeast,Rural,58.0,61.6
Guilford eLearning University Prep,Piedmont Triad,City,44.0,17.9
Wakefield Elementary,North Central,City,66.0,51.4
Maiden Elementary,Northwest,Rural,66.0,61.0
White Oak High,Southeast,City,61.0,47.5
Pleasant Union Elementary,North Central,City,79.0,18.8
Atlantic Elementary,Southeast,Rural,72.0,52.9
Dixon Road Elementary,North Central,Rural,75.0,45.2
